level,source_id,route_family,predicate_label,K,comparison,RH1_Recall@K,baseline_Recall@K,delta_Recall@K,RH1_Violation@K,baseline_Violation@K,delta_Violation@K,recall_not_large_loss_0p01,violation_nonincrease,violation_reduced_by_0p05
source_family,open3dsg_recovery_relaxed_views_min2,relative_horizontal,,50,RH1_source_x_frame_score_minus_RH4_source_x_sign_flip_control,0.3270455658990691,0.27045565899069085,0.05658990690837823,0.049881146932105186,0.9500817114841776,-0.9002005645520724,True,True,True
source_family,open3dsg_recovery_relaxed_views_min2,relative_horizontal,,50,RH1_source_x_frame_score_minus_RH5_axis_swap_only_control,0.3270455658990691,0.27829495345418914,0.04875061244487994,0.049881146932105186,0.7762590996880107,-0.7263779527559054,True,True,True
source_family,open3dsg_recovery_relaxed_views_min2,relative_horizontal,,50,RH1_source_x_frame_score_minus_RH6_sign_flip_only_control,0.3270455658990691,0.2528172464478197,0.07422831945124936,0.049881146932105186,0.9501559946516119,-0.9002748477195067,True,True,True
source_family,open3dsg_recovery_relaxed_views_min2,relative_horizontal,,100,RH1_source_x_frame_score_minus_RH0_source_score,0.5867221950024498,0.4005389514943655,0.1861832435080843,0.13468454381987335,0.5007817997029161,-0.36609725588304276,True,True,True
source_family,open3dsg_recovery_relaxed_views_min2,relative_horizontal,,100,RH1_source_x_frame_score_minus_RH2_frame_score_only,0.5867221950024498,0.5933365997060265,-0.0066144047035766595,0.13468454381987335,0.13454772887186303,0.000136814948010322,True,False,False
source_family,open3dsg_recovery_relaxed_views_min2,relative_horizontal,,100,RH1_source_x_frame_score_minus_RH3_source_x_axis_swap_control,0.5867221950024498,0.46178343949044587,0.12493875551200395,0.13468454381987335,0.6786803221014776,-0.5439957782816042,True,True,True
source_family,open3dsg_recovery_relaxed_views_min2,relative_horizontal,,100,RH1_source_x_frame_score_minus_RH4_source_x_sign_flip_control,0.5867221950024498,0.4380205781479667,0.14870161685448313,0.13468454381987335,0.8653936361504183,-0.7307090923305449,True,True,True
source_family,open3dsg_recovery_relaxed_views_min2,relative_horizontal,,100,RH1_source_x_frame_score_minus_RH5_axis_swap_only_control,0.5867221950024498,0.4644781969622734,0.12224399804017644,0.13468454381987335,0.6796966617152685,-0.5450121178953952,True,True,True
source_family,open3dsg_recovery_relaxed_views_min2,relative_horizontal,,100,RH1_source_x_frame_score_minus_RH6_sign_flip_only_control,0.5867221950024498,0.4370406663400294,0.1496815286624204,0.13468454381987335,0.8654522711281369,-0.7307677273082636,True,True,True
source_family,vlsat_full_validation,relative_horizontal,,5,RH1_source_x_frame_score_minus_RH0_source_score,0.2601388381439532,0.29046401169163316,-0.03032517354767994,0.06532846715328468,0.29927007299270075,-0.2339416058394161,False,True,True
source_family,vlsat_full_validation,relative_horizontal,,5,RH1_source_x_frame_score_minus_RH2_frame_score_only,0.2601388381439532,0.01370113262696383,0.2464377055169894,0.06532846715328468,0.0,0.06532846715328468,True,False,False
source_family,vlsat_full_validation,relative_horizontal,,5,RH1_source_x_frame_score_minus_RH3_source_x_axis_swap_control,0.2601388381439532,0.2184873949579832,0.04165144318597003,0.06532846715328468,0.5795620437956205,-0.5142335766423358,True,True,True
source_family,vlsat_full_validation,relative_horizontal,,5,RH1_source_x_frame_score_minus_RH4_source_x_sign_flip_control,0.2601388381439532,0.19090244793569602,0.0692363902082572,0.06532846715328468,0.8927007299270073,-0.8273722627737227,True,True,True
source_family,vlsat_full_validation,relative_horizontal,,5,RH1_source_x_frame_score_minus_RH5_axis_swap_only_control,0.2601388381439532,0.010595542564852027,0.24954329557910118,0.06532846715328468,0.891970802919708,-0.8266423357664233,True,True,True
source_family,vlsat_full_validation,relative_horizontal,,5,RH1_source_x_frame_score_minus_RH6_sign_flip_only_control,0.2601388381439532,0.014614541468761417,0.2455242966751918,0.06532846715328468,1.0,-0.9346715328467153,True,True,True
source_family,vlsat_full_validation,relative_horizontal,,10,RH1_source_x_frame_score_minus_RH0_source_score,0.41779320423821703,0.474241870661308,-0.05644866642309099,0.10693430656934307,0.36094890510948907,-0.254014598540146,False,True,True
source_family,vlsat_full_validation,relative_horizontal,,10,RH1_source_x_frame_score_minus_RH2_frame_score_only,0.41779320423821703,0.030690537084398978,0.387102667153818,0.10693430656934307,0.0,0.10693430656934307,True,False,False
source_family,vlsat_full_validation,relative_horizontal,,10,RH1_source_x_frame_score_minus_RH3_source_x_axis_swap_control,0.41779320423821703,0.3587869930580928,0.059006211180124224,0.10693430656934307,0.5965328467153285,-0.4895985401459854,True,True,True
source_family,vlsat_full_validation,relative_horizontal,,10,RH1_source_x_frame_score_minus_RH4_source_x_sign_flip_control,0.41779320423821703,0.31896236755571794,0.09883083668249909,0.10693430656934307,0.8468978102189781,-0.739963503649635,True,True,True
source_family,vlsat_full_validation,relative_horizontal,,10,RH1_source_x_frame_score_minus_RH5_axis_swap_only_control,0.41779320423821703,0.029229082937522834,0.3885641213006942,0.10693430656934307,0.8883211678832117,-0.7813868613138686,True,True,True
source_family,vlsat_full_validation,relative_horizontal,,10,RH1_source_x_frame_score_minus_RH6_sign_flip_only_control,0.41779320423821703,0.03032517354767994,0.3874680306905371,0.10693430656934307,1.0,-0.8930656934306569,True,True,True
source_family,vlsat_full_validation,relative_horizontal,,20,RH1_source_x_frame_score_minus_RH0_source_score,0.6001096090610157,0.6956521739130435,-0.09554256485202772,0.1678832116788321,0.4238138686131387,-0.2559306569343066,False,True,True
source_family,vlsat_full_validation,relative_horizontal,,20,RH1_source_x_frame_score_minus_RH2_frame_score_only,0.6001096090610157,0.07489952502740227,0.5252100840336135,0.1678832116788321,0.0,0.1678832116788321,True,False,False
source_family,vlsat_full_validation,relative_horizontal,,20,RH1_source_x_frame_score_minus_RH3_source_x_axis_swap_control,0.6001096090610157,0.5327000365363537,0.06740957252466206,0.1678832116788321,0.6094890510948905,-0.44160583941605835,True,True,True
source_family,vlsat_full_validation,relative_horizontal,,20,RH1_source_x_frame_score_minus_RH4_source_x_sign_flip_control,0.6001096090610157,0.4925100474972598,0.10759956156375594,0.1678832116788321,0.7827554744525548,-0.6148722627737226,True,True,True
source_family,vlsat_full_validation,relative_horizontal,,20,RH1_source_x_frame_score_minus_RH5_axis_swap_only_control,0.6001096090610157,0.0650347095359883,0.5350748995250274,0.1678832116788321,0.8808394160583941,-0.712956204379562,True,True,True
source_family,vlsat_full_validation,relative_horizontal,,20,RH1_source_x_frame_score_minus_RH6_sign_flip_only_control,0.6001096090610157,0.05845816587504567,0.54165144318597,0.1678832116788321,1.0,-0.8321167883211679,True,True,True
source_family,vlsat_full_validation,relative_horizontal,,50,RH1_source_x_frame_score_minus_RH0_source_score,0.8085495067592254,0.9229082937522836,-0.11435878699305813,0.24156934306569344,0.4607664233576642,-0.21919708029197077,False,True,True
source_family,vlsat_full_validation,relative_horizontal,,50,RH1_source_x_frame_score_minus_RH2_frame_score_only,0.8085495067592254,0.2670807453416149,0.5414687614176106,0.24156934306569344,0.005474452554744526,0.23609489051094892,True,False,False
source_family,vlsat_full_validation,relative_horizontal,,50,RH1_source_x_frame_score_minus_RH3_source_x_axis_swap_control,0.8085495067592254,0.77274388016076,0.03580562659846542,0.24156934306569344,0.6111678832116788,-0.36959854014598537,True,True,True
source_family,vlsat_full_validation,relative_horizontal,,50,RH1_source_x_frame_score_minus_RH4_source_x_sign_flip_control,0.8085495067592254,0.7584947022287176,0.05005480453050781,0.24156934306569344,0.7068978102189781,-0.4653284671532847,True,True,True
source_family,vlsat_full_validation,relative_horizontal,,50,RH1_source_x_frame_score_minus_RH5_axis_swap_only_control,0.8085495067592254,0.21008403361344538,0.59846547314578,0.24156934306569344,0.8351094890510949,-0.5935401459854015,True,True,True
source_family,vlsat_full_validation,relative_horizontal,,50,RH1_source_x_frame_score_minus_RH6_sign_flip_only_control,0.8085495067592254,0.1782974059188893,0.6302521008403361,0.24156934306569344,0.9945255474452555,-0.752956204379562,True,True,True
source_family,vlsat_full_validation,relative_horizontal,,100,RH1_source_x_frame_score_minus_RH0_source_score,0.9199853854585313,0.9819145049324077,-0.06192911947387647,0.29343119266055046,0.468954128440367,-0.17552293577981654,False,True,True
source_family,vlsat_full_validation,relative_horizontal,,100,RH1_source_x_frame_score_minus_RH2_frame_score_only,0.9199853854585313,0.5213737668980636,0.3986116185604677,0.29343119266055046,0.032293577981651375,0.26113761467889907,True,False,False
source_family,vlsat_full_validation,relative_horizontal,,100,RH1_source_x_frame_score_minus_RH3_source_x_axis_swap_control,0.9199853854585313,0.8931311655096821,0.02685421994884918,0.29343119266055046,0.6044587155963302,-0.3110275229357798,True,True,True
source_family,vlsat_full_validation,relative_horizontal,,100,RH1_source_x_frame_score_minus_RH4_source_x_sign_flip_control,0.9199853854585313,0.8891121666057727,0.03087321885275851,0.29343119266055046,0.6697614678899082,-0.37633027522935775,True,True,True
source_family,vlsat_full_validation,relative_horizontal,,100,RH1_source_x_frame_score_minus_RH5_axis_swap_only_control,0.9199853854585313,0.38947753014249176,0.5305078553160395,0.29343119266055046,0.7557064220183486,-0.46227522935779813,True,True,True
source_family,vlsat_full_validation,relative_horizontal,,100,RH1_source_x_frame_score_minus_RH6_sign_flip_only_control,0.9199853854585313,0.36865180854950674,0.5513335769090245,0.29343119266055046,0.9677064220183487,-0.6742752293577983,True,True,True
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,left,5,RH1_source_x_frame_score_minus_RH0_source_score,0.000777000777000777,0.0,0.000777000777000777,0.0,0.0,0.0,True,True,False
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,left,5,RH1_source_x_frame_score_minus_RH2_frame_score_only,0.000777000777000777,0.02641802641802642,-0.025641025641025644,0.0,0.0,0.0,False,True,False
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,left,5,RH1_source_x_frame_score_minus_RH3_source_x_axis_swap_control,0.000777000777000777,0.003885003885003885,-0.003108003108003108,0.0,0.5897435897435898,-0.5897435897435898,True,True,True
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,left,5,RH1_source_x_frame_score_minus_RH4_source_x_sign_flip_control,0.000777000777000777,0.001554001554001554,-0.000777000777000777,0.0,0.9714285714285714,-0.9714285714285714,True,True,True
