level,source_id,route_family,predicate_label,score_id,K,unit_count,gt_units,gt_total,gt_selected,Recall@K,selected_total,Selected@K_mean,violation_denominator,violation_count,Violation@K
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,left,RH5_axis_swap_only_control,100,416,416,1287,509,0.3954933954933955,12824,30.826923076923077,12824,8729,0.6806768558951966
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,left,RH6_sign_flip_only_control,5,416,416,1287,13,0.010101010101010102,607,1.4591346153846154,607,606,0.9983525535420099
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,left,RH6_sign_flip_only_control,10,416,416,1287,27,0.02097902097902098,1440,3.4615384615384617,1440,1438,0.9986111111111111
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,left,RH6_sign_flip_only_control,20,416,416,1287,59,0.04584304584304584,2789,6.704326923076923,2789,2763,0.9906776622445321
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,left,RH6_sign_flip_only_control,50,416,416,1287,159,0.12354312354312354,6710,16.129807692307693,6710,6381,0.9509687034277198
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,left,RH6_sign_flip_only_control,100,416,416,1287,336,0.26107226107226106,12756,30.66346153846154,12756,11033,0.8649263091878332
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,right,RH0_source_score,5,416,416,1287,0,0.0,5,0.01201923076923077,5,4,0.8
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,right,RH0_source_score,10,416,416,1287,0,0.0,52,0.125,52,27,0.5192307692307693
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,right,RH0_source_score,20,416,416,1287,9,0.006993006993006993,360,0.8653846153846154,360,189,0.525
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,right,RH0_source_score,50,416,416,1287,100,0.0777000777000777,3009,7.233173076923077,3009,1502,0.4991691591890994
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,right,RH0_source_score,100,416,416,1287,544,0.4226884226884227,12341,29.665865384615383,12341,6134,0.4970423790616644
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,right,RH1_source_x_frame_score,5,416,416,1287,9,0.006993006993006993,117,0.28125,117,2,0.017094017094017096
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,right,RH1_source_x_frame_score,10,416,416,1287,45,0.03496503496503497,473,1.1370192307692308,473,2,0.004228329809725159
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,right,RH1_source_x_frame_score,20,416,416,1287,189,0.14685314685314685,1881,4.521634615384615,1881,26,0.013822434875066455
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,right,RH1_source_x_frame_score,50,416,416,1287,638,0.49572649572649574,6642,15.966346153846153,6642,328,0.04938271604938271
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,right,RH1_source_x_frame_score,100,416,416,1287,997,0.7746697746697747,12731,30.603365384615383,12731,1733,0.13612442070536485
