comparison,expectation,primary_view,baseline_view,primary_auroc,baseline_auroc,delta_auroc,primary_balanced_accuracy,baseline_balanced_accuracy
M4_vs_M1,expect_positive_delta,M4_TxG_compatibility,M1_predicate_only,0.0775390596379055,0.1460037759597231,-0.06846471632181761,0.18093140339836375,0.1460037759597231
M4_vs_M2,expect_positive_delta,M4_TxG_compatibility,M2_geometry_only,0.0775390596379055,0.5,-0.4224609403620945,0.18093140339836375,0.5
M4_vs_M3,expect_positive_delta,M4_TxG_compatibility,M3_T_plus_G_concat,0.0775390596379055,0.4546601656051813,-0.37712110596727577,0.18093140339836375,0.46349905601006924
M4_vs_wrong_T,expect_control_degrade,M4_TxG_compatibility,C1_wrong_T_same_route,0.0775390596379055,0.9224609403620945,-0.844921880724189,0.18093140339836375,0.8190685966016362
M4_vs_shuffled_G_global,expect_control_degrade,M4_TxG_compatibility,C2_shuffled_G_global,0.0775390596379055,0.15448344720488286,-0.07694438756697736,0.18093140339836375,0.1793580868470736
M4_vs_shuffled_G_class_pair,expect_control_degrade,M4_TxG_compatibility,C3_shuffled_G_within_class_pair,0.0775390596379055,0.07664160581657803,0.0008974538213274708,0.18093140339836375,0.18124606670862178
M4_vs_class_ablation,diagnostic_only,M4_TxG_compatibility,A1_class_ablation,0.0775390596379055,0.07797986550866344,-0.0004408058707579404,0.18093140339836375,0.17998741346758967
M4_vs_Q_e,diagnostic_only,M4_TxG_compatibility,D1_Q_e_diagnostic,0.0775390596379055,0.5,-0.4224609403620945,0.18093140339836375,0.5
