source,method,k,recall,recall_scan_ci95_low,recall_scan_ci95_high,violation,violation_scan_ci95_low,violation_scan_ci95_high,selected
vlsat,source_score,50,0.9272406847935549,0.8847037291675166,0.9637493769110849,0.026751824817518248,0.023639152610174012,0.03002090519837489,27400
vlsat,source_score,100,0.9634944612286002,0.9279701585074008,0.9925995850285225,0.04764598540145985,0.04429499631594686,0.05125286453912748,54800
vlsat,structured_product,50,0.9277442094662638,0.8852746892819605,0.9637450789475533,0.01970802919708029,0.01705756090863968,0.022230577045446936,27400
vlsat,structured_product,100,0.9657603222557906,0.9314033763528935,0.9931298303784362,0.02948905109489051,0.027020418495610533,0.03219223992455827,54800
vlsat,wrong_predicate_product,50,0.904330312185297,0.8624864271993999,0.9443393308195878,0.04981751824817518,0.044580990936437866,0.055128727313333355,27400
vlsat,wrong_predicate_product,100,0.9481369587109768,0.9145418531859363,0.9782577688591492,0.0795985401459854,0.07409615384615384,0.08532529513796704,54800
vlsat,wrong_pair_product,50,0.905337361530715,0.864764936572105,0.9413095645575292,0.026094890510948904,0.023178762525537504,0.02896962379348089,27400
vlsat,wrong_pair_product,100,0.9496475327291037,0.9173931232465549,0.9768410240521396,0.047262773722627736,0.04405607467345275,0.050667987444490595,54800
vlsat,shuffled_geometry_product,50,0.891742195367573,0.8507290938421957,0.9278396893965495,0.03062043795620438,0.02725816166020449,0.034153268646476526,27400
vlsat,shuffled_geometry_product,100,0.9410876132930514,0.9067478809669336,0.9693987255049924,0.05598540145985401,0.052327175577162904,0.06022688600666349,54800
vlsat,endpoint_swap_fixed_label_product,50,0.904330312185297,0.8624864271993999,0.9443393308195878,0.04981751824817518,0.044580990936437866,0.055128727313333355,27400
vlsat,endpoint_swap_fixed_label_product,100,0.9481369587109768,0.9145418531859363,0.9782577688591492,0.0795985401459854,0.07409615384615384,0.08532529513796704,54800
vlsat,distance_only,50,0.8189828801611279,0.7855213033557963,0.8508769979584723,0.053394160583941606,0.04859246825614323,0.05828524705221785,27400
vlsat,distance_only,100,0.898036253776435,0.872654852672858,0.9209353157085064,0.08093065693430657,0.07611375402440479,0.08576756172839507,54800
vlsat,compatibility_only,50,0.6764853977844915,0.6538160483292793,0.7012832412623748,0.016058394160583942,0.013985134271099743,0.018141051641684152,27400
vlsat,compatibility_only,100,0.8408862034239678,0.8206618012546564,0.8624344244760336,0.02031021897810219,0.018703959788022837,0.02196149588770967,54800
open3dsg,source_score,50,0.4043303121852971,0.37264800183251334,0.4384332368747416,0.13872203033488512,0.131520268374617,0.14596908228143265,26636
open3dsg,source_score,100,0.5110775427995972,0.4808416923172253,0.5432994685752304,0.12415160527720583,0.11941436088293406,0.1286581365893132,52452
open3dsg,structured_product,50,0.4418429003021148,0.4124415577071901,0.4720340739085452,0.03423937528157381,0.03122215622215622,0.037491188490299525,26636
open3dsg,structured_product,100,0.5692346424974823,0.5411469677863121,0.5991459681288003,0.03241058491573248,0.02963302154327929,0.03522943651908687,52452
open3dsg,wrong_predicate_product,50,0.42648539778449146,0.3961699710451289,0.4585574547234498,0.2199654602793212,0.21097895433216524,0.2286174527450915,26636
open3dsg,wrong_predicate_product,100,0.5347432024169184,0.5015900035048331,0.5685466271585342,0.20977274460459086,0.2027095507290167,0.21686072909553153,52452
open3dsg,wrong_pair_product,50,0.3851963746223565,0.35864950863141887,0.41309037887372213,0.08484757471091756,0.07992251794406402,0.08969158497610125,26636
open3dsg,wrong_pair_product,100,0.493202416918429,0.4700507203424785,0.5189110740307166,0.08350491878288721,0.07970636499179426,0.08698477791361581,52452
open3dsg,shuffled_geometry_product,50,0.38444108761329304,0.35571722971949593,0.4143066613294646,0.12929869349752215,0.12284553062190355,0.13573681297455803,26636
open3dsg,shuffled_geometry_product,100,0.486908358509567,0.45931359502128183,0.5174413510575007,0.12426599557690841,0.11927246386701247,0.12905629110876848,52452
open3dsg,endpoint_swap_fixed_label_product,50,0.42673716012084595,0.396370297214084,0.4582100163887014,0.2199654602793212,0.21097895433216524,0.2286174527450915,26636
open3dsg,endpoint_swap_fixed_label_product,100,0.5372608257804632,0.504214606848579,0.5711530804798179,0.20977274460459086,0.2027095507290167,0.21686072909553153,52452
open3dsg,distance_only,50,0.5115810674723061,0.4763347816399287,0.5479066168092609,0.08236972518396156,0.0770956783544118,0.0874864339715653,26636
open3dsg,distance_only,100,0.6321752265861027,0.6005675119448983,0.6680801194134959,0.09553496530160908,0.0913762360794224,0.09993133577822674,52452
open3dsg,compatibility_only,50,0.4206948640483384,0.39343960470527745,0.4488993149707436,0.03423937528157381,0.03122215622215622,0.037491188490299525,26636
open3dsg,compatibility_only,100,0.5677240684793555,0.5408704262173092,0.5962158075015404,0.03241058491573248,0.02963302154327929,0.03522943651908687,52452
sgfn,source_score,50,0.7401812688821753,0.7037006685539878,0.7730803413143434,0.03846715328467153,0.03496353400550935,0.04224772628135223,27400
sgfn,source_score,100,0.9234642497482377,0.8901156787811928,0.9518074721497024,0.06297445255474453,0.05929541949742745,0.06727149725274725,54800
sgfn,structured_product,50,0.7449647532729103,0.7085377830198571,0.7784243179853569,0.026313868613138686,0.023877527796753298,0.029111844956289688,27400
sgfn,structured_product,100,0.9302618328298087,0.8971812196691454,0.9591371111882477,0.035,0.032289141641191635,0.0378959146063431,54800
sgfn,wrong_predicate_product,50,0.7155085599194361,0.6784950313994148,0.7501442835251424,0.09427007299270072,0.08779194808156439,0.10105743713733074,27400
sgfn,wrong_predicate_product,100,0.8997985901309165,0.8648396059611013,0.9303519834163823,0.12992700729927006,0.1221466641939744,0.13808422326802117,54800
sgfn,wrong_pair_product,50,0.7157603222557906,0.6803363110096553,0.7466748571392726,0.03989051094890511,0.03661339454804058,0.0433525,27400
sgfn,wrong_pair_product,100,0.8799093655589124,0.850580403796115,0.9057866987781452,0.06651459854014599,0.06296985748703642,0.0705217612520244,54800
sgfn,shuffled_geometry_product,50,0.7061933534743202,0.6698527762468116,0.737542014035826,0.047372262773722626,0.04374061926929045,0.05137105632100556,27400
sgfn,shuffled_geometry_product,100,0.8678247734138973,0.8367257586046678,0.8954967899449229,0.08364963503649635,0.07947337634565635,0.08840712436808953,54800
sgfn,endpoint_swap_fixed_label_product,50,0.7155085599194361,0.6784950313994148,0.7501442835251424,0.09427007299270072,0.08779194808156439,0.10105743713733074,27400
sgfn,endpoint_swap_fixed_label_product,100,0.9003021148036254,0.864951747197938,0.9312698058446498,0.12990875912408759,0.12212976644700732,0.13808375944612877,54800
sgfn,distance_only,50,0.6319234642497482,0.5959449933892221,0.6677624544537628,0.10003649635036496,0.09482884885758412,0.10516905168167745,27400
sgfn,distance_only,100,0.8406344410876133,0.8089750254526139,0.8694133747671918,0.1266058394160584,0.12104662619988707,0.13168716342910716,54800
sgfn,compatibility_only,50,0.5279456193353474,0.49901810436215416,0.5571608013850461,0.02324817518248175,0.020891388533190138,0.025736544968132817,27400
sgfn,compatibility_only,100,0.7072004028197382,0.6845583000223027,0.7325127619275699,0.022974452554744524,0.021077418959602325,0.025120604920485207,54800
