route_family,rows,label_0,label_1,T_e_present,G_e_present,Q_e_present,Z_e_present,extra_safe_blocks_present
relative_horizontal,2400,1200,1200,2400,2400,0,0,0
relative_vertical,1512,756,756,1512,1512,1512,1512,0
size_relative,2400,1200,1200,2400,2400,0,0,0
support_contact,640,320,320,640,640,640,0,0
