check,status,detail,blocked_hit_count,qe_rows,prel_rows,hidden_rows,label_counts
materialization_status,pass,h002_pobs_prel_qe_repair_materialization_ready,,,,,
blocked_field_hits,pass,,0,,,,
train_row_alignment,pass,,,14604,14604,14604,
eval_row_alignment,pass,,,265,265,265,
train_label_balance,pass,,,,,,"{'ambiguous_evidence': 4868, 'observable_clear': 4868, 'unobservable_missing_evidence': 4868}"
eval_ambiguous_missing_not_sufficient,pass,,,,,,
