split,qe_rows,prel_rows,hidden_rows,qe_unique,prel_unique,hidden_unique,missing_in_prel,missing_in_qe,missing_hidden,extra_hidden,status
internal_train,14604,14604,14604,14604,14604,14604,0,0,0,0,pass
official_validation_diagnostic_subset,265,265,265,265,265,265,0,0,0,0,pass
