target,probe,category,rows,majority_baseline,group_majority_accuracy,group_macro_recall,group_positive_recall,leave_one_out_accuracy,leave_one_out_macro_recall,leave_one_out_positive_recall,delta_vs_baseline,groups,max_group_rows,mixed_groups,pure_groups,singleton_groups,risk,blocks_metric_rerun
binary,geometry_gap_bin,geometry_construction,382,0.908377,0.91623,0.748374,0.542857,0.884817,0.576945,0.2,-0.02356,5,236,4,1,0,high,True
binary,geometry_overlap_bin,geometry_construction,382,0.908377,0.908377,0.5,0.0,0.908377,0.5,0.0,-0.0,4,205,1,3,0,low,False
binary,geometry_pose_bin,geometry_construction,382,0.908377,0.908377,0.5,0.0,0.908377,0.5,0.0,-0.0,3,211,3,0,0,low,False
binary,geometry_rule_state,geometry_construction,382,0.908377,1.0,1.0,1.0,1.0,1.0,1.0,0.091623,10,193,0,10,0,high,True
binary,geometry_core_signature,geometry_construction,382,0.908377,1.0,1.0,1.0,0.95288,0.742857,0.485714,0.044503,143,21,0,143,83,high,True
decide_vs_nondecide,predicate_label,route_metadata,480,0.795833,0.795833,0.5,1.0,0.795833,0.5,1.0,0.0,3,192,3,0,0,low,False
decide_vs_nondecide,subject_class_label,route_metadata,480,0.795833,0.795833,0.5,1.0,0.775,0.486911,0.973822,-0.020833,14,100,12,2,0,low,False
decide_vs_nondecide,object_class_label,route_metadata,480,0.795833,0.795833,0.5,1.0,0.795833,0.5,1.0,0.0,7,240,6,1,0,low,False
decide_vs_nondecide,class_pair,route_metadata,480,0.795833,0.795833,0.5,1.0,0.775,0.486911,0.973822,-0.020833,24,20,19,5,0,low,False
decide_vs_nondecide,predicate_x_class_pair,route_metadata,480,0.795833,0.854167,0.688375,0.968586,0.829167,0.672668,0.937173,0.033334,72,8,42,30,0,medium,True
decide_vs_nondecide,source_id,route_metadata,480,0.795833,0.795833,0.5,1.0,0.795833,0.5,1.0,0.0,2,241,2,0,0,low,False
decide_vs_nondecide,source_score_bin,source_confidence,480,0.795833,0.795833,0.5,1.0,0.795833,0.5,1.0,0.0,5,225,4,1,0,low,False
decide_vs_nondecide,selection_rank_bin,source_confidence,480,0.795833,0.795833,0.5,1.0,0.795833,0.5,1.0,0.0,4,288,4,0,0,low,False
decide_vs_nondecide,source_x_predicate,route_metadata,480,0.795833,0.795833,0.5,1.0,0.795833,0.5,1.0,0.0,6,98,6,0,0,low,False
decide_vs_nondecide,token_tier,route_metadata,480,0.795833,0.795833,0.5,1.0,0.795833,0.5,1.0,0.0,5,147,5,0,0,low,False
decide_vs_nondecide,queue_role,route_metadata,480,0.795833,0.808333,0.538199,0.994764,0.808333,0.538199,0.994764,0.0125,8,134,8,0,0,low,False
decide_vs_nondecide,predicate_x_token_tier,route_metadata,480,0.795833,0.822917,0.589085,0.984293,0.8,0.574687,0.955497,0.004167,15,74,15,0,0,low,False
decide_vs_nondecide,predicate_x_queue_role,route_metadata,480,0.795833,0.808333,0.538199,0.994764,0.785417,0.523801,0.965969,-0.010416,13,74,13,0,0,low,False
decide_vs_nondecide,class_pair_x_token_tier,route_metadata,480,0.795833,0.8375,0.662731,0.958115,0.760417,0.542232,0.910995,-0.035416,120,8,57,63,17,medium,True
decide_vs_nondecide,endpoint_id,endpoint_memorization,480,0.795833,1.0,1.0,1.0,0.795833,0.5,1.0,0.0,480,1,0,480,480,high,True
decide_vs_nondecide,scan_id,endpoint_memorization,480,0.795833,0.820833,0.618122,0.960733,0.747917,0.507827,0.913613,-0.047916,140,10,66,74,19,low,False
decide_vs_nondecide,primary_evidence_reason,label_derived_control,480,0.795833,1.0,1.0,1.0,0.997917,0.994898,1.0,0.202084,8,193,0,8,1,label_derived_control,False
decide_vs_nondecide,reviewer_confidence,label_derived_control,480,0.795833,0.975,0.938776,1.0,0.975,0.938776,1.0,0.179167,3,282,1,2,0,label_derived_control,False
decide_vs_nondecide,geometry_gap_bin,geometry_construction,480,0.795833,0.795833,0.5,1.0,0.770833,0.484293,0.968586,-0.025,5,247,5,0,0,low,False
decide_vs_nondecide,geometry_overlap_bin,geometry_construction,480,0.795833,0.795833,0.5,1.0,0.795833,0.5,1.0,0.0,4,292,3,1,0,low,False
decide_vs_nondecide,geometry_pose_bin,geometry_construction,480,0.795833,0.795833,0.5,1.0,0.795833,0.5,1.0,0.0,3,246,3,0,0,low,False
decide_vs_nondecide,geometry_rule_state,geometry_construction,480,0.795833,0.997917,0.994898,1.0,0.997917,0.994898,1.0,0.202084,13,193,1,12,0,high,True
decide_vs_nondecide,geometry_core_signature,geometry_construction,480,0.795833,0.983333,0.96677,0.994764,0.866667,0.692435,0.986911,0.070834,207,21,7,200,131,high,True
