level,source_id,route_family,score_id,K,unit_count,gt_units,gt_total,gt_selected,Recall@K,selected_total,Selected@K_mean,violation_denominator,violation_count,Violation@K
all_weighted,ALL,ALL,S0_source_score,100,5480,2895,16970,14311,0.8433117265763111,466366,85.10328467153285,363278,156845,0.43174923887491123
primary_success_weighted,ALL,PRIMARY,S2_current_source_x_Ce,5,2192,235,882,311,0.3526077097505669,10956,4.998175182481752,10956,597,0.05449069003285871
all_weighted,ALL,ALL,S2_current_source_x_Ce,5,5480,2895,16970,4514,0.26599882144961695,27390,4.998175182481752,21910,4694,0.21424007302601553
primary_success_weighted,ALL,PRIMARY,S2_current_source_x_Ce,10,2192,235,882,453,0.5136054421768708,21896,9.989051094890511,21896,1584,0.07234198027036902
all_weighted,ALL,ALL,S2_current_source_x_Ce,10,5480,2895,16970,6585,0.3880377136122569,54696,9.98102189781022,43744,9965,0.22780267008046817
primary_success_weighted,ALL,PRIMARY,S2_current_source_x_Ce,20,2192,235,882,639,0.7244897959183674,43568,19.875912408759124,43568,4378,0.10048659566654425
all_weighted,ALL,ALL,S2_current_source_x_Ce,20,5480,2895,16970,8891,0.5239245727754861,108816,19.856934306569343,86950,20858,0.23988499137435307
primary_success_weighted,ALL,PRIMARY,S2_current_source_x_Ce,50,2192,235,882,840,0.9523809523809523,105664,48.2043795620438,105664,17540,0.16599788007268323
all_weighted,ALL,ALL,S2_current_source_x_Ce,50,5480,2895,16970,12510,0.737183264584561,262416,47.886131386861315,208498,55912,0.2681656418766607
primary_success_weighted,ALL,PRIMARY,S2_current_source_x_Ce,100,2192,235,882,882,1.0,194040,88.52189781021897,194040,66346,0.3419191919191919
all_weighted,ALL,ALL,S2_current_source_x_Ce,100,5480,2895,16970,15167,0.893753682969947,466366,85.10328467153285,363278,131448,0.36183859193234935
