level,source_id,route_family,score_id,K,primary_success_family,unit_count,gt_units,gt_total,gt_selected,Recall@K,selected_total,Selected@K_mean,violation_denominator,violation_count,Violation@K
source_family,open3dsg_recovery_relaxed_views_min2,relative_horizontal,I2_route_aware_source_x_Ce,50,False,548,430,4082,1193,0.29225869671729543,26924,49.13138686131387,26924,16852,0.6259099688010696
source_family,open3dsg_recovery_relaxed_views_min2,relative_horizontal,I2_route_aware_source_x_Ce,100,False,548,430,4082,2553,0.6254287114159726,51164,93.36496350364963,51164,27067,0.5290243139707607
source_family,open3dsg_recovery_relaxed_views_min2,relative_horizontal,I4_calibrated_route_aware_source_x_Ce,5,False,548,430,4082,69,0.016903478686918178,2740,5.0,2740,2628,0.9591240875912409
source_family,open3dsg_recovery_relaxed_views_min2,relative_horizontal,I4_calibrated_route_aware_source_x_Ce,10,False,548,430,4082,167,0.04091131798138167,5476,9.992700729927007,5476,5076,0.926953981008035
source_family,open3dsg_recovery_relaxed_views_min2,relative_horizontal,I4_calibrated_route_aware_source_x_Ce,20,False,548,430,4082,396,0.09701126898579128,10936,19.956204379562045,10936,9291,0.84957937088515
source_family,open3dsg_recovery_relaxed_views_min2,relative_horizontal,I4_calibrated_route_aware_source_x_Ce,50,False,548,430,4082,1239,0.3035276825085742,26924,49.13138686131387,26924,17458,0.6484177685336503
source_family,open3dsg_recovery_relaxed_views_min2,relative_horizontal,I4_calibrated_route_aware_source_x_Ce,100,False,548,430,4082,2594,0.6354728074473297,51164,93.36496350364963,51164,27415,0.5358259713861309
source_family,open3dsg_recovery_relaxed_views_min2,relative_horizontal,S0_source_score,5,False,548,430,4082,21,0.00514453699167075,2740,5.0,2740,1345,0.4908759124087591
source_family,open3dsg_recovery_relaxed_views_min2,relative_horizontal,S0_source_score,10,False,548,430,4082,87,0.021313081822635964,5476,9.992700729927007,5476,2658,0.485390796201607
source_family,open3dsg_recovery_relaxed_views_min2,relative_horizontal,S0_source_score,20,False,548,430,4082,270,0.06614404703576678,10936,19.956204379562045,10936,5319,0.48637527432333577
source_family,open3dsg_recovery_relaxed_views_min2,relative_horizontal,S0_source_score,50,False,548,430,4082,719,0.1761391474767271,26924,49.13138686131387,26924,13302,0.49405734660525924
source_family,open3dsg_recovery_relaxed_views_min2,relative_horizontal,S0_source_score,100,False,548,430,4082,1635,0.4005389514943655,51164,93.36496350364963,51164,25622,0.5007817997029161
source_family,open3dsg_recovery_relaxed_views_min2,relative_horizontal,S2_current_source_x_Ce,5,False,548,430,4082,66,0.016168544830965213,2740,5.0,2740,2644,0.964963503649635
source_family,open3dsg_recovery_relaxed_views_min2,relative_horizontal,S2_current_source_x_Ce,10,False,548,430,4082,152,0.03723664870161685,5476,9.992700729927007,5476,5071,0.9260409057706355
source_family,open3dsg_recovery_relaxed_views_min2,relative_horizontal,S2_current_source_x_Ce,20,False,548,430,4082,391,0.09578637922586968,10936,19.956204379562045,10936,9058,0.8282735918068763
source_family,open3dsg_recovery_relaxed_views_min2,relative_horizontal,S2_current_source_x_Ce,50,False,548,430,4082,1187,0.2907888290053895,26924,49.13138686131387,26924,16765,0.6226786510176794
source_family,open3dsg_recovery_relaxed_views_min2,relative_horizontal,S2_current_source_x_Ce,100,False,548,430,4082,2545,0.623468887800098,51164,93.36496350364963,51164,27064,0.528965678993042
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,I1_hardneg_structured_source_x_Ce,5,True,548,66,224,15,0.06696428571428571,2738,4.9963503649635035,2738,9,0.003287070854638422
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,I1_hardneg_structured_source_x_Ce,10,True,548,66,224,36,0.16071428571428573,5468,9.978102189781023,5468,74,0.013533284564740308
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,I1_hardneg_structured_source_x_Ce,20,True,548,66,224,100,0.44642857142857145,10824,19.751824817518248,10824,430,0.03972653362897265
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,I1_hardneg_structured_source_x_Ce,50,True,548,66,224,196,0.875,25582,46.68248175182482,25582,4070,0.15909623954342897
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,I1_hardneg_structured_source_x_Ce,100,True,548,66,224,224,1.0,44280,80.8029197080292,44280,17519,0.3956413730803975
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,I2_route_aware_source_x_Ce,5,True,548,66,224,15,0.06696428571428571,2738,4.9963503649635035,2738,10,0.003652300949598247
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,I2_route_aware_source_x_Ce,10,True,548,66,224,35,0.15625,5468,9.978102189781023,5468,78,0.014264813460131675
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,I2_route_aware_source_x_Ce,20,True,548,66,224,98,0.4375,10824,19.751824817518248,10824,457,0.0422209903917221
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,I2_route_aware_source_x_Ce,50,True,548,66,224,193,0.8616071428571429,25582,46.68248175182482,25582,4169,0.16296614807286372
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,I2_route_aware_source_x_Ce,100,True,548,66,224,224,1.0,44280,80.8029197080292,44280,17520,0.3956639566395664
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,I4_calibrated_route_aware_source_x_Ce,5,True,548,66,224,14,0.0625,2738,4.9963503649635035,2738,22,0.008035062089116142
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,I4_calibrated_route_aware_source_x_Ce,10,True,548,66,224,38,0.16964285714285715,5468,9.978102189781023,5468,117,0.021397220190197512
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,I4_calibrated_route_aware_source_x_Ce,20,True,548,66,224,104,0.4642857142857143,10824,19.751824817518248,10824,571,0.05275314116777531
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,I4_calibrated_route_aware_source_x_Ce,50,True,548,66,224,196,0.875,25582,46.68248175182482,25582,4270,0.1669142365725901
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,I4_calibrated_route_aware_source_x_Ce,100,True,548,66,224,224,1.0,44280,80.8029197080292,44280,17509,0.3954155374887082
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,S0_source_score,5,True,548,66,224,1,0.004464285714285714,2738,4.9963503649635035,2738,1661,0.6066471877282688
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,S0_source_score,10,True,548,66,224,4,0.017857142857142856,5468,9.978102189781023,5468,2802,0.5124359912216533
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,S0_source_score,20,True,548,66,224,35,0.15625,10824,19.751824817518248,10824,5121,0.47311529933481156
