scope,K,candidate_score,baseline_score,candidate_Recall@K,baseline_Recall@K,delta_Recall@K,candidate_Violation@K,baseline_Violation@K,delta_Violation@K
primary_success_weighted,5,S0_source_score,S2_current_source_x_Ce,0.34467120181405897,0.3526077097505669,-0.007936507936507908,0.29518072289156627,0.05449069003285871,0.24069003285870755
primary_success_weighted,5,I1_hardneg_structured_source_x_Ce,S2_current_source_x_Ce,0.35374149659863946,0.3526077097505669,0.0011337868480725821,0.054764512595837894,0.05449069003285871,0.00027382256297918406
primary_success_weighted,5,I2_route_aware_source_x_Ce,S2_current_source_x_Ce,0.35374149659863946,0.3526077097505669,0.0011337868480725821,0.05604235122307411,0.05449069003285871,0.0015516611902154018
primary_success_weighted,5,I4_calibrated_route_aware_source_x_Ce,S2_current_source_x_Ce,0.35827664399092973,0.3526077097505669,0.005668934240362855,0.04755385177071924,0.05449069003285871,-0.006936838262139471
primary_success_weighted,10,S0_source_score,S2_current_source_x_Ce,0.47165532879818595,0.5136054421768708,-0.04195011337868482,0.3022013153087322,0.07234198027036902,0.22985933503836314
primary_success_weighted,10,I1_hardneg_structured_source_x_Ce,S2_current_source_x_Ce,0.518140589569161,0.5136054421768708,0.0045351473922902175,0.07275301424917793,0.07234198027036902,0.000411033978808914
primary_success_weighted,10,I2_route_aware_source_x_Ce,S2_current_source_x_Ce,0.5158730158730159,0.5136054421768708,0.0022675736961451642,0.07389477530142492,0.07234198027036902,0.0015527950310559036
primary_success_weighted,10,I4_calibrated_route_aware_source_x_Ce,S2_current_source_x_Ce,0.5294784580498866,0.5136054421768708,0.015873015873015817,0.06357325538911217,0.07234198027036902,-0.00876872488125685
primary_success_weighted,20,S0_source_score,S2_current_source_x_Ce,0.6428571428571429,0.7244897959183674,-0.08163265306122447,0.3435778553066471,0.10048659566654425,0.24309125964010284
primary_success_weighted,20,I1_hardneg_structured_source_x_Ce,S2_current_source_x_Ce,0.7346938775510204,0.7244897959183674,0.010204081632653073,0.10122107969151671,0.10048659566654425,0.0007344840249724621
primary_success_weighted,20,I2_route_aware_source_x_Ce,S2_current_source_x_Ce,0.7324263038548753,0.7244897959183674,0.007936507936507908,0.10308024237972824,0.10048659566654425,0.002593646713183989
primary_success_weighted,20,I4_calibrated_route_aware_source_x_Ce,S2_current_source_x_Ce,0.746031746031746,0.7244897959183674,0.02154195011337867,0.08997429305912596,0.10048659566654425,-0.010512302607418283
primary_success_weighted,50,S0_source_score,S2_current_source_x_Ce,0.8492063492063492,0.9523809523809523,-0.10317460317460314,0.4251968503937008,0.16599788007268323,0.2591989703210176
primary_success_weighted,50,I1_hardneg_structured_source_x_Ce,S2_current_source_x_Ce,0.953514739229025,0.9523809523809523,0.0011337868480726376,0.16627233494851604,0.16599788007268323,0.0002744548758328025
primary_success_weighted,50,I2_route_aware_source_x_Ce,S2_current_source_x_Ce,0.9501133786848073,0.9523809523809523,-0.0022675736961450532,0.16869510902483342,0.16599788007268323,0.002697228952150188
primary_success_weighted,50,I4_calibrated_route_aware_source_x_Ce,S2_current_source_x_Ce,0.9603174603174603,0.9523809523809523,0.00793650793650802,0.1519628255602665,0.16599788007268323,-0.01403505451241674
primary_success_weighted,100,S0_source_score,S2_current_source_x_Ce,0.9954648526077098,1.0,-0.0045351473922902175,0.4847917955060812,0.3419191919191919,0.1428726035868893
primary_success_weighted,100,I1_hardneg_structured_source_x_Ce,S2_current_source_x_Ce,1.0,1.0,0.0,0.3416666666666667,0.3419191919191919,-0.0002525252525252264
primary_success_weighted,100,I2_route_aware_source_x_Ce,S2_current_source_x_Ce,1.0,1.0,0.0,0.3417233560090703,0.3419191919191919,-0.00019583591012162227
primary_success_weighted,100,I4_calibrated_route_aware_source_x_Ce,S2_current_source_x_Ce,1.0,1.0,0.0,0.3410070088641517,0.3419191919191919,-0.0009121830550402055
