field,value,rows
observability_label,ambiguous_evidence,126
observability_label,observable_clear,135
observability_label,unobservable_missing_evidence,4
obs_label,0,130
obs_label,1,135
decision_label,abstain,130
decision_label,accept,66
decision_label,reject,69
queue_kind,route_observable_control,45
queue_kind,support_contact_binary_control,40
queue_kind,support_contact_mixed_overflow_abstain,60
queue_kind,support_contact_single_subtype_abstain,120
