source_id,route_family,K,S0_Recall@K,S2_Recall@K,delta_Recall@K,S0_Violation@K,S2_Violation@K,delta_Violation@K,route_cell_pass
open3dsg_recovery_relaxed_views_min2,proximity,20,0.42777777777777776,0.4263888888888889,-0.001388888888888884,0.19114573437203117,0.18981569447083413,-0.0013300399011970387,True
open3dsg_recovery_relaxed_views_min2,proximity,50,0.7680555555555556,0.7652777777777777,-0.002777777777777879,0.15862691960252936,0.15736224028906956,-0.0012646793134598044,True
vlsat_full_validation,proximity,20,0.9144960362400906,0.9144960362400906,0.0,0.07281021897810219,0.07226277372262774,-0.0005474452554744547,True
vlsat_full_validation,proximity,50,0.9773499433748585,0.9750849377123443,-0.0022650056625141968,0.20022753128555176,0.1956769055745165,-0.004550625711035261,True
