metric,rows,value,note
GT-positive nonviolated rate,2545,0.9972495088408644,valid GT relations should not be flagged as violated
GT-derived negative nonsatisfied rate,2545,0.9693516699410609,counterfactual negatives should not be satisfied
p_geom_valid AUROC,5090,0.9779406440456846,probability discriminates GT positives from counterfactual negatives
p_geom_valid AUPRC,5090,0.9736732648482089,precision-recall discrimination
p_geom_valid Brier,5090,0.05375387565816732,calibration error on GT/counterfactual verifier evaluation
