condition,purpose,r50,r100,violation50,violation100,delta_r50_vs_main,delta_violation50_vs_main
control_p_geom_valid_only,geometry-only ranking control; p_geom_valid without semantic score,0.2109768378650554,0.5183786505538771,0.06605839416058394,0.0710948905109489,-0.7177744209466263,0.045437956204379565
control_distance_only,simple distance heuristic control,0.37462235649546827,0.5553877139979859,0.07237226277372263,0.09808394160583941,-0.5541289023162134,0.05175182481751825
control_shuffled_geometry,breaks geometry identity while preserving distribution,0.8889728096676737,0.9493957703927492,0.029452554744525548,0.05883211678832117,-0.039778449144008006,0.00883211678832117
control_wrong_pair_geometry,tests object-pair identity,0.8914904330312186,0.952920443101712,0.03204379562043796,0.06009124087591241,-0.03726082578046311,0.011423357664233583
