family,rows,label_0,label_1,positive_rate,majority_rate,dataset_weight,paper_metric_requirement,imbalance_risk
ALL,23062,15439,7623,0.330544,0.669456,1.0,family_wise_and_macro_required,low
relative_horizontal,18764,13290,5474,0.291729,0.708271,0.813633,report_per_family,high
relative_vertical,780,390,390,0.5,0.5,0.033822,report_per_family,low
size_relative,340,170,170,0.5,0.5,0.014743,report_per_family,low
support_contact,3178,1589,1589,0.5,0.5,0.137802,report_per_family,low
