level,route_family,predicate_label,view_id,rows,positive,negative,auroc,auprc,balanced_accuracy,macro_F1,Brier,NLL,tp,fp,tn,fn,macro_family_auroc,macro_family_auprc,macro_family_balanced_accuracy,macro_family_macro_F1,macro_family_Brier,macro_family_NLL,weighted_family_auroc,weighted_family_auprc,weighted_family_balanced_accuracy,weighted_family_macro_F1,weighted_family_Brier,weighted_family_NLL
overall_secondary,ALL,ALL,M0_constant,23062,7623,15439,0.5,0.3313945290148037,0.5,0.24842757047417305,0.25016616790904755,0.6934795164843711,7623,15439,0,0,,,,,,,,,,,,
macro_family_primary,ALL,ALL,M0_constant,,,,,,,,,,,,,,0.5,0.45229069323628607,0.5,0.3064609291195643,0.2500512234491693,0.6932496274911214,0.5,0.33143164284299415,0.5,0.24587625369285776,0.2501661679090167,0.6934795164843217
overall_secondary,ALL,ALL,M1_T_semantic_only,23062,7623,15439,0.4043334413530316,0.2817359097015422,0.44684281652055113,0.4422686879337805,0.25360394577779594,0.7006068464522255,2947,7610,7829,4676,,,,,,,,,,,,
macro_family_primary,ALL,ALL,M1_T_semantic_only,,,,,,,,,,,,,,0.41763347769299586,0.41232686353824766,0.4151029032540915,0.4005513485382224,0.25874488337710627,0.7110971483546272,0.4553740966717703,0.3186579424161632,0.4533714876686835,0.44049569256097976,0.25360394577779527,0.7006068464522135
overall_secondary,ALL,ALL,M2_G_geometry_only,23062,7623,15439,0.5283287415402661,0.38256363546200095,0.5383855088528613,0.5110342568650968,0.24935445002653892,0.6918562241819892,1156,1156,14283,6467,,,,,,,,,,,,
macro_family_primary,ALL,ALL,M2_G_geometry_only,,,,,,,,,,,,,,0.5,0.45167009917557904,0.5,0.4325850845136504,0.24995572564500124,0.6930595439952387,0.5,0.32941190007044946,0.5,0.4272730501421648,0.24935445002653928,0.6918562241819892
overall_secondary,ALL,ALL,M3_T_plus_G_concat,23062,7623,15439,0.4061368001802203,0.2840227854772074,0.454825224119632,0.452428489323079,0.25285831875673154,0.6991319251962285,2808,7082,8357,4815,,,,,,,,,,,,
macro_family_primary,ALL,ALL,M3_T_plus_G_concat,,,,,,,,,,,,,,0.4169228221289655,0.42669380635254606,0.4212321509304053,0.41066703116643083,0.25864103141237543,0.7109123924271286,0.4546252783903258,0.32744451388598805,0.4576849744732195,0.44950448156148254,0.25285831875673026,0.6991319251962281
overall_secondary,ALL,ALL,M4_TxG_compatibility,23062,7623,15439,0.724835499373417,0.4869433298187547,0.6913892725827083,0.6678922565559019,0.23592674758441137,0.873077579573103,5479,5187,10252,2144,,,,,,,,,,,,
macro_family_primary,ALL,ALL,M4_TxG_compatibility,,,,,,,,,,,,,,0.8355465299908279,0.7698034442856854,0.8034609495944022,0.7938977308565189,0.15460012535781842,0.5344213540972709,0.7207808044279794,0.4988270846532341,0.6957923543391139,0.6647300231871595,0.2359267475844117,0.8730775795731045
overall_secondary,ALL,ALL,C1_wrong_T_within_route,23062,7623,15439,0.27432189939771096,0.22859349024677672,0.3074108191520412,0.3060874739936607,0.4751928470063894,1.7001802353348414,2063,10125,5314,5560,,,,,,,,,,,,
macro_family_primary,ALL,ALL,C1_wrong_T_within_route,,,,,,,,,,,,,,0.1644268237632756,0.30694733692362197,0.19651509833777497,0.1962011212039802,0.5109341197038337,1.7008023771617833,0.2791324745316941,0.2358596636506871,0.3041296929073297,0.3031892869515333,0.4751928470063881,1.7001802353348516
overall_secondary,ALL,ALL,C2_wrong_T_across_route,23062,7623,15439,0.4774611117402984,0.30389082472697215,0.5050785826948909,0.4907155288248448,0.31402067587517707,0.9090641550788329,3824,7588,7851,3799,,,,,,,,,,,,
macro_family_primary,ALL,ALL,C2_wrong_T_across_route,,,,,,,,,,,,,,0.5650829672274861,0.6004180824880448,0.5506439919474064,0.5469856414945236,0.27731272112266414,0.7762448671040408,0.4997844082752844,0.3588536534824314,0.49709685439711704,0.485313470691869,0.3140206758751767,0.9090641550788322
overall_secondary,ALL,ALL,C3_shuffled_G_global,23062,7623,15439,0.48931788164781354,0.3192207806368544,0.49126307739972075,0.4781233183187181,0.3488340341500191,1.2158177762711215,3682,7727,7712,3941,,,,,,,,,,,,
macro_family_primary,ALL,ALL,C3_shuffled_G_global,,,,,,,,,,,,,,0.493813508862854,0.45545252384309204,0.4910535489849556,0.4858167134259332,0.31842026692407954,0.9766075384411892,0.4892722101710672,0.32554782240802194,0.49157376565013844,0.47456266302485817,0.3488340341500189,1.2158177762711275
overall_secondary,ALL,ALL,C4_shuffled_G_within_family,23062,7623,15439,0.506811571102711,0.3273478930908057,0.5056266766663695,0.4914028194007347,0.3529373374726275,1.274676428642773,3821,7565,7874,3802,,,,,,,,,,,,
macro_family_primary,ALL,ALL,C4_shuffled_G_within_family,,,,,,,,,,,,,,0.5167935657433202,0.47076574770648394,0.5061918993097534,0.5000428687444587,0.32889277962912405,1.0970121764221379,0.5117084630255452,0.3416421135294194,0.5067321649680522,0.4881678709107302,0.3529373374726269,1.2746764286427716
overall_secondary,ALL,ALL,C5_subject_object_swap,23062,7623,15439,0.26557202344023206,0.2272058688826085,0.2727107422212498,0.2751024935301363,0.47834299694565063,1.6786856052247991,1689,10439,5000,5934,,,,,,,,,,,,
