level,route_family,predicate_label,view_id,rows,positive,negative,auroc,auprc,balanced_accuracy,macro_F1,Brier,NLL,tp,fp,tn,fn
route_family,relative_horizontal,ALL,M0_constant,18764,5474,13290,0.5,0.29217090591924155,0.5,0.22584371647825727,0.25020417470121825,0.6935555300930266,5474,13290,0,0
route_family,relative_vertical,ALL,M0_constant,780,390,390,0.5,0.5050831134865942,0.5,0.3333333333333333,0.25000023969848933,0.6931476599571432,390,390,0,0
route_family,size_relative,ALL,M0_constant,340,170,170,0.5,0.5104401616247298,0.5,0.3333333333333333,0.25000023969848695,0.6931476599571503,170,170,0,0
route_family,support_contact,ALL,M0_constant,3178,1589,1589,0.5,0.5014685919145787,0.5,0.3333333333333333,0.2500002396984827,0.6931476599571657,1589,1589,0,0
route_family,relative_horizontal,ALL,M1_T_semantic_only,18764,5474,13290,0.5011472250103299,0.3030564201720275,0.5002479880950319,0.4853170836457059,0.2482966237876591,0.6897378544095658,2514,6097,7193,2960
route_family,relative_vertical,ALL,M1_T_semantic_only,780,390,390,0.5,0.49805763175066503,0.5,0.4963943024018118,0.25028445617555034,0.693716817125917,162,162,228,228
route_family,size_relative,ALL,M1_T_semantic_only,340,170,170,0.5,0.5009530603099983,0.5,0.4604988052568698,0.2502888697701709,0.6937255561531419,39,39,131,131
route_family,support_contact,ALL,M1_T_semantic_only,3178,1589,1589,0.16938668576165353,0.3472403419202999,0.16016362492133418,0.15999520284850183,0.2861095837750447,0.7672083657298843,232,1312,277,1357
route_family,relative_horizontal,ALL,M2_G_geometry_only,18764,5474,13290,0.5,0.28968852967641345,0.5,0.41461284083109756,0.24917040213061137,0.6914879759824003,0,0,13290,5474
route_family,relative_vertical,ALL,M2_G_geometry_only,780,390,390,0.5,0.5050831134865942,0.5,0.4843228728742304,0.2505787264125759,0.6943080305386232,263,263,127,127
route_family,size_relative,ALL,M2_G_geometry_only,340,170,170,0.5,0.5104401616247298,0.5,0.3333333333333333,0.2500024522753906,0.6931520851347812,0,0,170,170
route_family,support_contact,ALL,M2_G_geometry_only,3178,1589,1589,0.5,0.5014685919145787,0.5,0.4980712910159405,0.25007132176142705,0.69329008432515,893,893,696,696
route_family,relative_horizontal,ALL,M3_T_plus_G_concat,18764,5474,13290,0.5003093081378198,0.31370839576588494,0.5045902196387437,0.49515709938809793,0.24734701615693536,0.6878443088573493,2335,5547,7743,3139
route_family,relative_vertical,ALL,M3_T_plus_G_concat,780,390,390,0.4979881656804734,0.5240800637767213,0.5192307692307692,0.5190529041805401,0.2504763135091787,0.6941007229128443,195,180,210,195
route_family,size_relative,ALL,M3_T_plus_G_concat,340,170,170,0.5,0.5304162616580035,0.5,0.46749705188679247,0.2505055102795584,0.6941598794798769,43,43,127,127
route_family,support_contact,ALL,M3_T_plus_G_concat,3178,1589,1589,0.16939381469756876,0.3385705042095744,0.16110761485210823,0.1609610692102928,0.28623528570382933,0.7675446584584436,235,1312,277,1354
route_family,relative_horizontal,ALL,M4_TxG_compatibility,18764,5474,13290,0.7195682002313144,0.4447881434190996,0.7015222381032107,0.663360297182779,0.2461880901885618,0.9458194031164396,4061,4503,8787,1413
route_family,relative_vertical,ALL,M4_TxG_compatibility,780,390,390,0.9913214990138067,0.9914190532536732,0.9576923076923077,0.9576922381529227,0.07423492416250821,0.2637002075082898,373,16,374,17
route_family,size_relative,ALL,M4_TxG_compatibility,340,170,170,0.9995847750865052,0.9995899475385921,0.9882352941176471,0.9882352941176471,0.06462521715789805,0.270555754946272,168,2,168,2
route_family,support_contact,ALL,M4_TxG_compatibility,3178,1589,1589,0.6317116456316851,0.6434166329313767,0.5663939584644431,0.5663030939727269,0.23335226992230562,0.6576100508180821,877,666,923,712
route_family,relative_horizontal,ALL,C1_wrong_T_within_route,18764,5474,13290,0.2803252147850994,0.20216364643682894,0.2983819536254977,0.29724631012718666,0.49747061959047273,1.822560142250139,1379,8707,4583,4095
route_family,relative_vertical,ALL,C1_wrong_T_within_route,780,390,390,0.008678500986193294,0.3079278879029736,0.04230769230769231,0.04230611818888591,0.6530669293481134,2.554627242046438,16,373,17,374
route_family,size_relative,ALL,C1_wrong_T_within_route,340,170,170,0.0004152249134948097,0.3083264630141023,0.011764705882352941,0.01176470588235294,0.6073360367773588,1.653090021801111,2,168,2,168
route_family,support_contact,ALL,C1_wrong_T_within_route,3178,1589,1589,0.36828835436831486,0.4093713503405832,0.43360604153555693,0.4334873506174952,0.28586289309939006,0.7729321025494454,666,877,712,923
route_family,relative_horizontal,ALL,C2_wrong_T_across_route,18764,5474,13290,0.4329758873811572,0.25053170338742903,0.4456964216641608,0.4312207295553852,0.33601123116871934,0.9741636996952228,2292,7008,6282,3182
route_family,relative_vertical,ALL,C2_wrong_T_across_route,780,390,390,0.9948849441157134,0.9948303392155953,0.9794871794871794,0.9794870446222526,0.11107996056536171,0.3757003172658345,381,7,383,9
route_family,size_relative,ALL,C2_wrong_T_across_route,340,170,170,0.0070242214532871975,0.3086031302091847,0.047058823529411764,0.046926910299003324,0.44184488634175617,1.122330256816353,6,160,10,164
route_family,support_contact,ALL,C2_wrong_T_across_route,3178,1589,1589,0.8254468159597864,0.8477071571399704,0.7303335431088736,0.7303078815014532,0.22031480641481932,0.6327851946387534,1145,413,1176,444
route_family,relative_horizontal,ALL,C3_shuffled_G_global,18764,5474,13290,0.49187688815834507,0.2882351056842793,0.49454669491704817,0.4736467079229539,0.3571904549326693,1.2887246619808366,2667,6620,6670,2807
