level,route_family,predicate_label,comparison,expectation,primary_view,baseline_view,primary_auroc,baseline_auroc,delta_auroc
route_family,relative_vertical,ALL,M4_vs_M1,expect_positive_delta,M4_TxG_compatibility,M1_T_semantic_only,0.9913214990138067,0.5,0.49132149901380673
route_family,relative_vertical,ALL,M4_vs_M2,expect_positive_delta,M4_TxG_compatibility,M2_G_geometry_only,0.9913214990138067,0.5,0.49132149901380673
route_family,relative_vertical,ALL,M4_vs_M3,expect_positive_delta,M4_TxG_compatibility,M3_T_plus_G_concat,0.9913214990138067,0.4979881656804734,0.49333333333333335
route_family,relative_vertical,ALL,M4_vs_wrong_T_within_route,expect_control_degrade,M4_TxG_compatibility,C1_wrong_T_within_route,0.9913214990138067,0.008678500986193294,0.9826429980276135
route_family,relative_vertical,ALL,M4_vs_wrong_T_across_route,expect_control_degrade,M4_TxG_compatibility,C2_wrong_T_across_route,0.9913214990138067,0.9948849441157134,-0.003563445101906648
route_family,relative_vertical,ALL,M4_vs_shuffled_G_global,expect_control_degrade,M4_TxG_compatibility,C3_shuffled_G_global,0.9913214990138067,0.5164529914529915,0.4748685075608152
route_family,relative_vertical,ALL,M4_vs_shuffled_G_within_family,expect_control_degrade,M4_TxG_compatibility,C4_shuffled_G_within_family,0.9913214990138067,0.4963905325443787,0.494930966469428
route_family,relative_vertical,ALL,M4_vs_subject_object_swap,expect_control_degrade_when_directional,M4_TxG_compatibility,C5_subject_object_swap,0.9913214990138067,0.07232084155161078,0.919000657462196
route_family,relative_vertical,ALL,M4_vs_sign_flip,expect_control_degrade_when_signed,M4_TxG_compatibility,C6_sign_flip,0.9913214990138067,0.07232084155161078,0.919000657462196
route_family,relative_vertical,ALL,M4_vs_horizontal_frame_swap,expect_control_degrade_for_horizontal,M4_TxG_compatibility,C7_horizontal_frame_swap,0.9913214990138067,0.9913214990138067,0.0
route_family,size_relative,ALL,M4_vs_M1,expect_positive_delta,M4_TxG_compatibility,M1_T_semantic_only,0.9995847750865052,0.5,0.49958477508650523
