level,source_id,route_family,score_id,K,unit_count,gt_units,gt_total,gt_selected,Recall@K,selected_total,Selected@K_mean,violation_denominator,violation_count,Violation@K,source_family_rows
primary_success_weighted,ALL,PRIMARY,C1_source_x_shuffled_Ce,100,2192,235,882,843,0.95578231292517,194040,88.52189781021897,194040,94166,0.48529169243454956,
all_weighted,ALL,ALL,C1_source_x_shuffled_Ce,100,5480,2895,16970,14179,0.8355332940483206,466366,85.10328467153285,363278,157004,0.4321869202098668,
primary_success_macro,ALL,PRIMARY,C1_source_x_shuffled_Ce,100,,,,,0.9437899198140796,,,,,0.4862286535265808,4
primary_success_weighted,ALL,PRIMARY,C2_source_x_wrong_T_Ce,5,2192,235,882,281,0.31859410430839,10956,4.998175182481752,10956,6880,0.6279664110989412,
all_weighted,ALL,ALL,C2_source_x_wrong_T_Ce,5,5480,2895,16970,4290,0.2527990571596936,27390,4.998175182481752,21910,8800,0.40164308534915566,
primary_success_macro,ALL,PRIMARY,C2_source_x_wrong_T_Ce,5,,,,,0.254788838612368,,,,,0.6281014566549188,4
primary_success_weighted,ALL,PRIMARY,C2_source_x_wrong_T_Ce,10,2192,235,882,388,0.4399092970521542,21896,9.989051094890511,21896,14195,0.6482919254658385,
all_weighted,ALL,ALL,C2_source_x_wrong_T_Ce,10,5480,2895,16970,6263,0.36906305244549203,54696,9.98102189781022,43744,18349,0.4194632406730066,
primary_success_macro,ALL,PRIMARY,C2_source_x_wrong_T_Ce,10,,,,,0.3549019607843137,,,,,0.6486641921945333,4
primary_success_weighted,ALL,PRIMARY,C2_source_x_wrong_T_Ce,20,2192,235,882,460,0.5215419501133787,43568,19.875912408759124,43568,29857,0.6852965479250827,
all_weighted,ALL,ALL,C2_source_x_wrong_T_Ce,20,5480,2895,16970,8396,0.4947554507955215,108816,19.856934306569343,86950,39411,0.4532604945370903,
primary_success_macro,ALL,PRIMARY,C2_source_x_wrong_T_Ce,20,,,,,0.4219154007756949,,,,,0.6870226713008669,4
primary_success_weighted,ALL,PRIMARY,C2_source_x_wrong_T_Ce,50,2192,235,882,589,0.6678004535147393,105664,48.2043795620438,105664,77278,0.7313559963658389,
all_weighted,ALL,ALL,C2_source_x_wrong_T_Ce,50,5480,2895,16970,11421,0.6730111962286388,262416,47.886131386861315,208498,108519,0.5204798127559976,
primary_success_macro,ALL,PRIMARY,C2_source_x_wrong_T_Ce,50,,,,,0.5483593918336566,,,,,0.7349952912705966,4
primary_success_weighted,ALL,PRIMARY,C2_source_x_wrong_T_Ce,100,2192,235,882,812,0.9206349206349206,194040,88.52189781021897,194040,124249,0.6403267367553082,
all_weighted,ALL,ALL,C2_source_x_wrong_T_Ce,100,5480,2895,16970,13551,0.7985268120212139,466366,85.10328467153285,363278,185001,0.5092546204284322,
