level,K,comparison,expectation,primary_score,baseline_score,primary_Recall@K,baseline_Recall@K,delta_Recall@K,primary_Violation@K,baseline_Violation@K,delta_Violation@K
primary_success_weighted,5,S2_vs_S0_source_score,source_baseline,S2_source_x_Ce,S0_source_score,0.3526077097505669,0.34467120181405897,0.007936507936507908,0.05449069003285871,0.29518072289156627,-0.24069003285870755
primary_success_weighted,5,S2_vs_S1_Ce_only,C_e_only_diagnostic,S2_source_x_Ce,S1_Ce_only,0.3526077097505669,0.018140589569160998,0.3344671201814059,0.05449069003285871,0.0008214676889375684,0.053669222343921144
primary_success_weighted,5,S2_vs_C1_source_x_shuffled_Ce,shuffled_Ce_control_should_degrade,S2_source_x_Ce,C1_source_x_shuffled_Ce,0.3526077097505669,0.3321995464852608,0.02040816326530609,0.05449069003285871,0.31069733479372036,-0.25620664476086163
primary_success_weighted,5,S2_vs_C2_source_x_wrong_T_Ce,wrong_T_control_should_degrade,S2_source_x_Ce,C2_source_x_wrong_T_Ce,0.3526077097505669,0.31859410430839,0.03401360544217685,0.05449069003285871,0.6279664110989412,-0.5734757210660826
primary_success_weighted,10,S2_vs_S0_source_score,source_baseline,S2_source_x_Ce,S0_source_score,0.5136054421768708,0.47165532879818595,0.04195011337868482,0.07234198027036902,0.3022013153087322,-0.22985933503836314
primary_success_weighted,10,S2_vs_S1_Ce_only,C_e_only_diagnostic,S2_source_x_Ce,S1_Ce_only,0.5136054421768708,0.06349206349206349,0.4501133786848073,0.07234198027036902,0.005069419071976617,0.06727256119839241
primary_success_weighted,10,S2_vs_C1_source_x_shuffled_Ce,shuffled_Ce_control_should_degrade,S2_source_x_Ce,C1_source_x_shuffled_Ce,0.5136054421768708,0.47845804988662133,0.035147392290249435,0.07234198027036902,0.3359061015710632,-0.2635641213006942
primary_success_weighted,10,S2_vs_C2_source_x_wrong_T_Ce,wrong_T_control_should_degrade,S2_source_x_Ce,C2_source_x_wrong_T_Ce,0.5136054421768708,0.4399092970521542,0.07369614512471656,0.07234198027036902,0.6482919254658385,-0.5759499451954695
primary_success_weighted,20,S2_vs_S0_source_score,source_baseline,S2_source_x_Ce,S0_source_score,0.7244897959183674,0.6428571428571429,0.08163265306122447,0.10048659566654425,0.3435778553066471,-0.24309125964010284
primary_success_weighted,20,S2_vs_S1_Ce_only,C_e_only_diagnostic,S2_source_x_Ce,S1_Ce_only,0.7244897959183674,0.21315192743764172,0.5113378684807257,0.10048659566654425,0.015194638266617702,0.08529195739992655
primary_success_weighted,20,S2_vs_C1_source_x_shuffled_Ce,shuffled_Ce_control_should_degrade,S2_source_x_Ce,C1_source_x_shuffled_Ce,0.7244897959183674,0.6349206349206349,0.08956916099773249,0.10048659566654425,0.3788789937568858,-0.27839239809034155
primary_success_weighted,20,S2_vs_C2_source_x_wrong_T_Ce,wrong_T_control_should_degrade,S2_source_x_Ce,C2_source_x_wrong_T_Ce,0.7244897959183674,0.5215419501133787,0.2029478458049887,0.10048659566654425,0.6852965479250827,-0.5848099522585384
primary_success_weighted,50,S2_vs_S0_source_score,source_baseline,S2_source_x_Ce,S0_source_score,0.9523809523809523,0.8492063492063492,0.10317460317460314,0.16599788007268323,0.4251968503937008,-0.2591989703210176
primary_success_weighted,50,S2_vs_S1_Ce_only,C_e_only_diagnostic,S2_source_x_Ce,S1_Ce_only,0.9523809523809523,0.7482993197278912,0.20408163265306112,0.16599788007268323,0.08218503937007875,0.08381284070260449
primary_success_weighted,50,S2_vs_C1_source_x_shuffled_Ce,shuffled_Ce_control_should_degrade,S2_source_x_Ce,C1_source_x_shuffled_Ce,0.9523809523809523,0.81859410430839,0.13378684807256236,0.16599788007268323,0.4483173076923077,-0.2823194276196245
primary_success_weighted,50,S2_vs_C2_source_x_wrong_T_Ce,wrong_T_control_should_degrade,S2_source_x_Ce,C2_source_x_wrong_T_Ce,0.9523809523809523,0.6678004535147393,0.28458049886621306,0.16599788007268323,0.7313559963658389,-0.5653581162931557
primary_success_weighted,100,S2_vs_S0_source_score,source_baseline,S2_source_x_Ce,S0_source_score,1.0,0.9954648526077098,0.0045351473922902175,0.3419191919191919,0.4847917955060812,-0.1428726035868893
primary_success_weighted,100,S2_vs_S1_Ce_only,C_e_only_diagnostic,S2_source_x_Ce,S1_Ce_only,1.0,1.0,0.0,0.3419191919191919,0.34058956916099775,0.0013296227581941489
primary_success_weighted,100,S2_vs_C1_source_x_shuffled_Ce,shuffled_Ce_control_should_degrade,S2_source_x_Ce,C1_source_x_shuffled_Ce,1.0,0.95578231292517,0.04421768707482998,0.3419191919191919,0.48529169243454956,-0.14337250051535766
primary_success_weighted,100,S2_vs_C2_source_x_wrong_T_Ce,wrong_T_control_should_degrade,S2_source_x_Ce,C2_source_x_wrong_T_Ce,1.0,0.9206349206349206,0.07936507936507942,0.3419191919191919,0.6403267367553082,-0.29840754483611626
