source_id,route_family,K,recall_delta,recall_ci_low_95,recall_ci_high_95,violation_delta,violation_ci_low_95,violation_ci_high_95,recall_regression,violation_regression,hard_blocker,double_regression
open3dsg_recovery_relaxed_views_min2,relative_vertical,5,-0.004464285714285712,-0.04015584927993687,0.02752930682976554,0.005478451424397369,0.002922908293752283,0.008406586487249578,True,True,True,True
open3dsg_recovery_relaxed_views_min2,relative_vertical,10,0.01339285714285715,-0.02632753759398496,0.05385135135135135,0.007681053401609362,0.005120561948897748,0.010459003768141345,False,True,True,False
open3dsg_recovery_relaxed_views_min2,relative_vertical,20,0.0535714285714286,-0.008198414848936467,0.11683554262826626,0.013118994826311896,0.010132086756036237,0.016200980807217803,False,True,True,False
open3dsg_recovery_relaxed_views_min2,relative_vertical,50,0.004464285714285698,-0.040000000000000036,0.043755151098901046,0.006762567430224381,0.004225512714516024,0.009114465866998135,False,True,True,False
open3dsg_recovery_relaxed_views_min2,relative_vertical,100,0.0,0.0,0.0,-0.000564588979223124,-0.0009899197598455644,-0.00020438337587979085,False,False,False,False
open3dsg_recovery_relaxed_views_min2,size_relative,5,0.020408163265306124,-0.017248941318814274,0.06762837837837832,0.00036523009495982475,0.0,0.0010964912280701754,False,True,True,False
open3dsg_recovery_relaxed_views_min2,size_relative,10,0.13265306122448978,0.059309571286141574,0.2273051948051948,0.0,-0.0010972933430870527,0.0010948905109489041,False,False,False,False
open3dsg_recovery_relaxed_views_min2,size_relative,20,0.07142857142857145,-0.027818627450980404,0.17445003142677556,-0.0018477457501847767,-0.0032408007989457254,-0.0005563695109906652,False,False,False,False
open3dsg_recovery_relaxed_views_min2,size_relative,50,0.05102040816326525,0.0,0.11111111111111116,-0.0016417793761238364,-0.002939954717948388,-0.0004313125655427887,False,False,False,False
open3dsg_recovery_relaxed_views_min2,size_relative,100,0.0,0.0,0.0,-0.0002258355916892607,-0.00040286662012967573,-8.921064693171998e-05,False,False,False,False
vlsat_full_validation,relative_vertical,5,0.012820512820512886,0.002512562814070307,0.026315789473684185,-0.010948905109489052,-0.01642335766423357,-0.005109489051094901,False,False,False,False
vlsat_full_validation,relative_vertical,10,-0.00512820512820511,-0.015791562238930707,0.005027702615642224,-0.017153284671532834,-0.021902372262773726,-0.012956204379562047,True,False,False,False
vlsat_full_validation,relative_vertical,20,0.002564102564102555,0.0,0.007616165560328071,-0.022080291970802912,-0.025638686131386867,-0.018793339416058374,False,False,False,False
vlsat_full_validation,relative_vertical,50,0.0,0.0,0.0,-0.0313394495412844,-0.03439969048076632,-0.02831779585015622,False,False,False,False
vlsat_full_validation,relative_vertical,100,0.0,0.0,0.0,-0.002237390974592357,-0.0033230288466768315,-0.0013167712919682855,False,False,False,False
vlsat_full_validation,size_relative,5,-0.00588235294117645,-0.027416554119235957,0.013333333333333308,-0.022627737226277367,-0.029197080291970795,-0.016423357664233584,True,False,False,False
vlsat_full_validation,size_relative,10,0.0,0.0,0.0,-0.025547445255474435,-0.031026459854014615,-0.020615875912408755,False,False,False,False
vlsat_full_validation,size_relative,20,-0.005882352941176561,-0.01852430555555553,0.0,-0.03083941605839416,-0.03458029197080292,-0.027278740875912425,True,False,False,False
vlsat_full_validation,size_relative,50,0.00588235294117645,0.0,0.021430491551459326,-0.02788990825688073,-0.030484505643918212,-0.02536220359518997,False,False,False,False
vlsat_full_validation,size_relative,100,0.0,0.0,0.0,-0.0004550625711035039,-0.0009124833435841403,-0.00015047437344006126,False,False,False,False
