level,source_id,route_family,candidate_score,baseline_score,metric,K,baseline_point,candidate_point,point_delta,ci_low_95,ci_high_95,n_bootstrap,unit_count
source_family,vlsat_full_validation,relative_vertical,I4_calibrated_route_aware_source_x_Ce,S2_current_source_x_Ce,Recall@K,50,0.9923076923076923,0.9923076923076923,0.0,0.0,0.0,1000,548
source_family,vlsat_full_validation,relative_vertical,I4_calibrated_route_aware_source_x_Ce,S2_current_source_x_Ce,Violation@K,50,0.19761467889908257,0.16627522935779818,-0.0313394495412844,-0.03439969048076632,-0.02831779585015622,1000,548
source_family,vlsat_full_validation,relative_vertical,I4_calibrated_route_aware_source_x_Ce,S2_current_source_x_Ce,Recall@K,100,1.0,1.0,0.0,0.0,0.0,1000,548
source_family,vlsat_full_validation,relative_vertical,I4_calibrated_route_aware_source_x_Ce,S2_current_source_x_Ce,Violation@K,100,0.3054038680318544,0.303166477057262,-0.002237390974592357,-0.0033230288466768315,-0.0013167712919682855,1000,548
source_family,vlsat_full_validation,size_relative,I4_calibrated_route_aware_source_x_Ce,S2_current_source_x_Ce,Recall@K,5,0.5588235294117647,0.5529411764705883,-0.00588235294117645,-0.027416554119235957,0.013333333333333308,1000,548
source_family,vlsat_full_validation,size_relative,I4_calibrated_route_aware_source_x_Ce,S2_current_source_x_Ce,Violation@K,5,0.10364963503649635,0.08102189781021898,-0.022627737226277367,-0.029197080291970795,-0.016423357664233584,1000,548
source_family,vlsat_full_validation,size_relative,I4_calibrated_route_aware_source_x_Ce,S2_current_source_x_Ce,Recall@K,10,0.7705882352941177,0.7705882352941177,0.0,0.0,0.0,1000,548
source_family,vlsat_full_validation,size_relative,I4_calibrated_route_aware_source_x_Ce,S2_current_source_x_Ce,Violation@K,10,0.1335766423357664,0.10802919708029197,-0.025547445255474435,-0.031026459854014615,-0.020615875912408755,1000,548
source_family,vlsat_full_validation,size_relative,I4_calibrated_route_aware_source_x_Ce,S2_current_source_x_Ce,Recall@K,20,0.9235294117647059,0.9176470588235294,-0.005882352941176561,-0.01852430555555553,0.0,1000,548
source_family,vlsat_full_validation,size_relative,I4_calibrated_route_aware_source_x_Ce,S2_current_source_x_Ce,Violation@K,20,0.16843065693430656,0.1375912408759124,-0.03083941605839416,-0.03458029197080292,-0.027278740875912425,1000,548
source_family,vlsat_full_validation,size_relative,I4_calibrated_route_aware_source_x_Ce,S2_current_source_x_Ce,Recall@K,50,0.9705882352941176,0.9764705882352941,0.00588235294117645,0.0,0.021430491551459326,1000,548
source_family,vlsat_full_validation,size_relative,I4_calibrated_route_aware_source_x_Ce,S2_current_source_x_Ce,Violation@K,50,0.16506422018348624,0.1371743119266055,-0.02788990825688073,-0.030484505643918212,-0.02536220359518997,1000,548
source_family,vlsat_full_validation,size_relative,I4_calibrated_route_aware_source_x_Ce,S2_current_source_x_Ce,Recall@K,100,1.0,1.0,0.0,0.0,0.0,1000,548
source_family,vlsat_full_validation,size_relative,I4_calibrated_route_aware_source_x_Ce,S2_current_source_x_Ce,Violation@K,100,0.29429275692074325,0.29383769434963974,-0.0004550625711035039,-0.0009124833435841403,-0.00015047437344006126,1000,548
