source_id,route_family,K,S0_Recall@K,S2_Recall@K,delta_Recall@K,S0_Violation@K,S2_Violation@K,delta_Violation@K,route_cell_pass
open3dsg_recovery_relaxed_views_min2,proximity,20,0.42777777777777776,0.4263888888888889,-0.001388888888888884,0.19114573437203117,0.18981569447083413,-0.0013300399011970387,True
open3dsg_recovery_relaxed_views_min2,proximity,50,0.7680555555555556,0.7652777777777777,-0.002777777777777879,0.15862691960252936,0.15736224028906956,-0.0012646793134598044,True
open3dsg_recovery_relaxed_views_min2,relative_horizontal,20,0.06614404703576678,0.09578637922586968,0.0296423321901029,0.48637527432333577,0.8282735918068763,0.34189831748354055,False
open3dsg_recovery_relaxed_views_min2,relative_horizontal,50,0.1761391474767271,0.2907888290053895,0.1146496815286624,0.49405734660525924,0.6226786510176794,0.12862130441242015,False
open3dsg_recovery_relaxed_views_min2,relative_vertical,20,0.15625,0.4107142857142857,0.2544642857142857,0.47311529933481156,0.039634146341463415,-0.43348115299334816,True
open3dsg_recovery_relaxed_views_min2,relative_vertical,50,0.6339285714285714,0.8705357142857143,0.2366071428571429,0.4838558361347823,0.16015166914236573,-0.32370416699241655,True
open3dsg_recovery_relaxed_views_min2,size_relative,20,0.336734693877551,0.46938775510204084,0.13265306122448983,0.40382483370288247,0.03270509977827051,-0.37111973392461195,True
open3dsg_recovery_relaxed_views_min2,size_relative,50,0.5510204081632653,0.9489795918367347,0.3979591836734695,0.48018137753107654,0.1391603471190681,-0.34102103041200843,True
open3dsg_recovery_relaxed_views_min2,support_contact,20,0.646285338593031,0.2024983563445102,-0.44378698224852076,0.0,0.0,0.0,False
open3dsg_recovery_relaxed_views_min2,support_contact,50,0.8560157790927022,0.6153846153846154,-0.2406311637080868,0.0,0.0,0.0,False
vlsat_full_validation,proximity,20,0.9144960362400906,0.9144960362400906,0.0,0.07281021897810219,0.07226277372262774,-0.0005474452554744547,True
vlsat_full_validation,proximity,50,0.9773499433748585,0.9750849377123443,-0.0022650056625141968,0.20022753128555176,0.1956769055745165,-0.004550625711035261,True
vlsat_full_validation,relative_horizontal,20,0.6956521739130435,0.6642309097552064,-0.03142126415783708,0.4238138686131387,0.4226277372262774,-0.0011861313868613,False
vlsat_full_validation,relative_horizontal,50,0.9229082937522836,0.9039093898428937,-0.018998903909389853,0.4606204379562044,0.4731021897810219,0.012481751824817533,False
vlsat_full_validation,relative_vertical,20,0.8794871794871795,0.882051282051282,0.002564102564102555,0.23795620437956205,0.15958029197080292,-0.07837591240875913,True
vlsat_full_validation,relative_vertical,50,0.9897435897435898,0.9923076923076923,0.002564102564102555,0.36168807339449544,0.19761467889908257,-0.16407339449541286,True
vlsat_full_validation,size_relative,20,0.9176470588235294,0.9235294117647059,0.005882352941176561,0.2617700729927007,0.16843065693430656,-0.09333941605839416,True
vlsat_full_validation,size_relative,50,0.9823529411764705,0.9705882352941176,-0.0117647058823529,0.3820183486238532,0.16506422018348624,-0.21695412844036696,False
vlsat_full_validation,support_contact,20,0.9373961218836565,0.935180055401662,-0.002216066481994461,0.0,0.0,0.0,True
vlsat_full_validation,support_contact,50,0.9828254847645429,0.9833795013850416,0.0005540166204986985,0.0,0.0,0.0,True
