metric,value,pass_gate,passed
p_rel_calibrated_AUROC,0.7238001824379887,>=0.70,True
p_rel_calibrated_ECE_10,0.22345786060584388,<=0.10,False
decision_macro_F1_calibrated,0.7780715049835566,>=0.70,True
asset_observability_has_negative_or_ambiguous,False,true,False
attachment_containment_rows_present,False,true,False
