condition,purpose,r50,r100,violation50,violation100,delta_r50_vs_main,delta_violation50_vs_main
control_p_geom_valid_only,geometry-only ranking control,0.20275049115913557,0.5049115913555993,0.06422680412371135,0.07007731958762886,-0.7614931237721021,0.04087628865979382
control_distance_only,simple distance heuristic control,0.38349705304518666,0.5642436149312378,0.07314432989690722,0.09927835051546392,-0.580746561886051,0.0497938144329897
control_shuffled_geometry,breaks geometry identity while preserving distribution,0.9296660117878193,0.9787819253438114,0.028917525773195875,0.055927835051546394,-0.0345776031434184,0.00556701030927835
control_wrong_pair_geometry,tests object-pair identity,0.9241650294695481,0.9787819253438114,0.03020618556701031,0.05814432989690722,-0.04007858546168952,0.0068556701030927855
control_family_specific_p_geom_valid,stricter family-specific calibration,0.9618860510805501,0.9913555992141454,0.020360824742268042,0.031030927835051545,-0.0023575638506875274,-0.002989690721649483
