control_type,rows,median_p_obs,delta_vs_observed_median,abstain_rate
low_visibility_control,23062,0.044859651510498484,-0.9107487246061097,1.0
missing_mesh_control,23062,0.0318540404812458,-0.9237543356353624,1.0
no_view_control,23062,0.06070329797115069,-0.8949050781454575,1.0
observed_original,23062,0.9556083761166082,0.0,0.0
shuffled_view_control,23062,0.03642701359008307,-0.9191813625265252,1.0
