source_id,subroute,K,comparison,RH1_Recall@K,baseline_Recall@K,delta_Recall@K,RH1_Violation@K,baseline_Violation@K,delta_Violation@K,recall_improved,violation_improved,recall_loss_abs,violation_reduction_abs
open3dsg_recovery_relaxed_views_min2,lateral_left_right,5,RH1_source_x_frame_score_minus_RH0_source_score,0.11460761460761461,0.045454545454545456,0.06915306915306915,0.0018261504747991235,0.4941563184806428,-0.49233016800584367,True,True,0.0,0.49233016800584367
open3dsg_recovery_relaxed_views_min2,lateral_left_right,5,RH1_source_x_frame_score_minus_RH3_source_x_axis_swap_control,0.11460761460761461,0.04156954156954157,0.07303807303807304,0.0018261504747991235,0.827246165084003,-0.8254200146092038,True,True,0.0,0.8254200146092038
open3dsg_recovery_relaxed_views_min2,lateral_left_right,5,RH1_source_x_frame_score_minus_RH4_source_x_sign_flip_control,0.11460761460761461,0.022533022533022532,0.09207459207459208,0.0018261504747991235,0.9985390796201608,-0.9967129291453616,True,True,0.0,0.9967129291453616
open3dsg_recovery_relaxed_views_min2,lateral_left_right,10,RH1_source_x_frame_score_minus_RH0_source_score,0.23620823620823622,0.09090909090909091,0.1452991452991453,0.010241404535479151,0.4908558888076079,-0.4806144842721287,True,True,0.0,0.4806144842721287
open3dsg_recovery_relaxed_views_min2,lateral_left_right,10,RH1_source_x_frame_score_minus_RH3_source_x_axis_swap_control,0.23620823620823622,0.08508158508158509,0.15112665112665113,0.010241404535479151,0.8098024871982443,-0.7995610826627652,True,True,0.0,0.7995610826627652
open3dsg_recovery_relaxed_views_min2,lateral_left_right,10,RH1_source_x_frame_score_minus_RH4_source_x_sign_flip_control,0.23620823620823622,0.043900543900543904,0.19230769230769232,0.010241404535479151,0.9897585954645208,-0.9795171909290417,True,True,0.0,0.9795171909290417
open3dsg_recovery_relaxed_views_min2,lateral_left_right,20,RH1_source_x_frame_score_minus_RH0_source_score,0.43512043512043513,0.1658896658896659,0.2692307692307693,0.02836289726533629,0.49464153732446414,-0.46627864005912784,True,True,0.0,0.46627864005912784
open3dsg_recovery_relaxed_views_min2,lateral_left_right,20,RH1_source_x_frame_score_minus_RH3_source_x_axis_swap_control,0.43512043512043513,0.17404817404817405,0.2610722610722611,0.02836289726533629,0.7801182557280119,-0.7517553584626756,True,True,0.0,0.7517553584626756
open3dsg_recovery_relaxed_views_min2,lateral_left_right,20,RH1_source_x_frame_score_minus_RH4_source_x_sign_flip_control,0.43512043512043513,0.09285159285159285,0.3422688422688423,0.02836289726533629,0.9715447154471545,-0.9431818181818182,True,True,0.0,0.9431818181818182
open3dsg_recovery_relaxed_views_min2,lateral_left_right,50,RH1_source_x_frame_score_minus_RH0_source_score,0.7758352758352758,0.3978243978243978,0.37801087801087796,0.13454772887186303,0.5019544992572903,-0.36740677038542724,True,True,0.0,0.36740677038542724
open3dsg_recovery_relaxed_views_min2,lateral_left_right,50,RH1_source_x_frame_score_minus_RH3_source_x_axis_swap_control,0.7758352758352758,0.3947163947163947,0.3811188811188811,0.13454772887186303,0.6801266515518725,-0.5455789226800094,True,True,0.0,0.5455789226800094
open3dsg_recovery_relaxed_views_min2,lateral_left_right,50,RH1_source_x_frame_score_minus_RH4_source_x_sign_flip_control,0.7758352758352758,0.263014763014763,0.5128205128205128,0.13454772887186303,0.8654522711281369,-0.7309045422562739,True,True,0.0,0.7309045422562739
open3dsg_recovery_relaxed_views_min2,lateral_left_right,100,RH1_source_x_frame_score_minus_RH0_source_score,0.9121989121989122,0.8146853146853147,0.09751359751359756,0.3955284552845528,0.49787714543812106,-0.10234869015356823,True,True,0.0,0.10234869015356823
open3dsg_recovery_relaxed_views_min2,lateral_left_right,100,RH1_source_x_frame_score_minus_RH3_source_x_axis_swap_control,0.9121989121989122,0.7397047397047397,0.17249417249417254,0.3955284552845528,0.5625564588979223,-0.16702800361336945,True,True,0.0,0.16702800361336945
open3dsg_recovery_relaxed_views_min2,lateral_left_right,100,RH1_source_x_frame_score_minus_RH4_source_x_sign_flip_control,0.9121989121989122,0.6181041181041181,0.2940947940947941,0.3955284552845528,0.6044715447154472,-0.20894308943089435,True,True,0.0,0.20894308943089435
open3dsg_recovery_relaxed_views_min2,depth_front_behind,5,RH1_source_x_frame_score_minus_RH0_source_score,0.029177718832891247,0.013925729442970823,0.015251989389920425,0.0014609203798392988,0.49013878743608474,-0.48867786705624544,True,True,0.0,0.48867786705624544
open3dsg_recovery_relaxed_views_min2,depth_front_behind,5,RH1_source_x_frame_score_minus_RH3_source_x_axis_swap_control,0.029177718832891247,0.0649867374005305,-0.03580901856763925,0.0014609203798392988,0.8173849525200877,-0.8159240321402484,False,True,0.03580901856763925,0.8159240321402484
open3dsg_recovery_relaxed_views_min2,depth_front_behind,5,RH1_source_x_frame_score_minus_RH4_source_x_sign_flip_control,0.029177718832891247,0.07891246684350132,-0.04973474801061008,0.0014609203798392988,0.9985390796201608,-0.9970781592403215,False,True,0.04973474801061008,0.9970781592403215
open3dsg_recovery_relaxed_views_min2,depth_front_behind,10,RH1_source_x_frame_score_minus_RH0_source_score,0.05570291777188329,0.058355437665782495,-0.0026525198938992037,0.010607168983174835,0.4857351865398683,-0.4751280175566935,False,True,0.0026525198938992037,0.4751280175566935
open3dsg_recovery_relaxed_views_min2,depth_front_behind,10,RH1_source_x_frame_score_minus_RH3_source_x_axis_swap_control,0.05570291777188329,0.14854111405835543,-0.09283819628647214,0.010607168983174835,0.7929773226042429,-0.7823701536210681,False,True,0.09283819628647214,0.7823701536210681
open3dsg_recovery_relaxed_views_min2,depth_front_behind,10,RH1_source_x_frame_score_minus_RH4_source_x_sign_flip_control,0.05570291777188329,0.19230769230769232,-0.13660477453580902,0.010607168983174835,0.9895757132406731,-0.9789685442574982,False,True,0.13660477453580902,0.9789685442574982
open3dsg_recovery_relaxed_views_min2,depth_front_behind,20,RH1_source_x_frame_score_minus_RH0_source_score,0.11604774535809019,0.17639257294429708,-0.06034482758620689,0.029009608277900962,0.4864190687361419,-0.45740946045824094,False,True,0.06034482758620689,0.45740946045824094
open3dsg_recovery_relaxed_views_min2,depth_front_behind,20,RH1_source_x_frame_score_minus_RH3_source_x_axis_swap_control,0.11604774535809019,0.29442970822281167,-0.17838196286472147,0.029009608277900962,0.7670916481892092,-0.7380820399113082,False,True,0.17838196286472147,0.7380820399113082
open3dsg_recovery_relaxed_views_min2,depth_front_behind,20,RH1_source_x_frame_score_minus_RH4_source_x_sign_flip_control,0.11604774535809019,0.3779840848806366,-0.2619363395225464,0.029009608277900962,0.970990391722099,-0.941980783444198,False,True,0.2619363395225464,0.941980783444198
open3dsg_recovery_relaxed_views_min2,depth_front_behind,50,RH1_source_x_frame_score_minus_RH0_source_score,0.2738726790450928,0.4442970822281167,-0.17042440318302388,0.13478226878273786,0.49394105230240015,-0.3591587835196623,False,True,0.17042440318302388,0.3591587835196623
open3dsg_recovery_relaxed_views_min2,depth_front_behind,50,RH1_source_x_frame_score_minus_RH3_source_x_axis_swap_control,0.2738726790450928,0.5842175066312998,-0.31034482758620696,0.13478226878273786,0.6791103119380815,-0.5443280431553437,False,True,0.31034482758620696,0.5443280431553437
open3dsg_recovery_relaxed_views_min2,depth_front_behind,50,RH1_source_x_frame_score_minus_RH4_source_x_sign_flip_control,0.2738726790450928,0.7320954907161804,-0.4582228116710876,0.13478226878273786,0.8652959111875538,-0.730513642404816,False,True,0.4582228116710876,0.730513642404816
open3dsg_recovery_relaxed_views_min2,depth_front_behind,100,RH1_source_x_frame_score_minus_RH0_source_score,0.6657824933687002,0.803050397877984,-0.13726790450928383,0.3955284552845528,0.50273261065944,-0.10720415537488714,False,True,0.13726790450928383,0.10720415537488714
open3dsg_recovery_relaxed_views_min2,depth_front_behind,100,RH1_source_x_frame_score_minus_RH3_source_x_axis_swap_control,0.6657824933687002,0.850132625994695,-0.18435013262599476,0.3955284552845528,0.5626016260162602,-0.16707317073170735,False,True,0.18435013262599476,0.16707317073170735
open3dsg_recovery_relaxed_views_min2,depth_front_behind,100,RH1_source_x_frame_score_minus_RH4_source_x_sign_flip_control,0.6657824933687002,0.919761273209549,-0.2539787798408488,0.3955284552845528,0.6044715447154472,-0.20894308943089435,False,True,0.2539787798408488,0.20894308943089435
vlsat_full_validation,lateral_left_right,5,RH1_source_x_frame_score_minus_RH0_source_score,0.4136018680677175,0.4454173963806188,-0.0318155283129013,0.11970802919708029,0.2332116788321168,-0.11350364963503651,False,True,0.0318155283129013,0.11350364963503651
vlsat_full_validation,lateral_left_right,5,RH1_source_x_frame_score_minus_RH3_source_x_axis_swap_control,0.4136018680677175,0.3558085230589609,0.0577933450087566,0.11970802919708029,0.3021897810218978,-0.18248175182481752,True,True,0.0,0.18248175182481752
vlsat_full_validation,lateral_left_right,5,RH1_source_x_frame_score_minus_RH4_source_x_sign_flip_control,0.4136018680677175,0.3269118505545826,0.08669001751313488,0.11970802919708029,0.4448905109489051,-0.3251824817518248,True,True,0.0,0.3251824817518248
