source_id,route_family,subroute,predicates,score_id,K,unit_count,gt_units,gt_total,gt_selected,selected_total,violation_denominator,violation_count,Recall@K,Selected@K_mean,Violation@K
open3dsg_recovery_relaxed_views_min2,relative_horizontal,depth_front_behind,"behind,front",RH1_source_x_frame_score,20,548,316,1508,175,10824,10824,314,0.11604774535809019,19.751824817518248,0.029009608277900962
open3dsg_recovery_relaxed_views_min2,relative_horizontal,depth_front_behind,"behind,front",RH1_source_x_frame_score,50,548,316,1508,413,25582,25582,3448,0.2738726790450928,46.68248175182482,0.13478226878273786
open3dsg_recovery_relaxed_views_min2,relative_horizontal,depth_front_behind,"behind,front",RH1_source_x_frame_score,100,548,316,1508,1004,44280,44280,17514,0.6657824933687002,80.8029197080292,0.3955284552845528
open3dsg_recovery_relaxed_views_min2,relative_horizontal,depth_front_behind,"behind,front",RH3_source_x_axis_swap_control,5,548,316,1508,98,2738,2738,2238,0.0649867374005305,4.9963503649635035,0.8173849525200877
open3dsg_recovery_relaxed_views_min2,relative_horizontal,depth_front_behind,"behind,front",RH3_source_x_axis_swap_control,10,548,316,1508,224,5468,5468,4336,0.14854111405835543,9.978102189781023,0.7929773226042429
open3dsg_recovery_relaxed_views_min2,relative_horizontal,depth_front_behind,"behind,front",RH3_source_x_axis_swap_control,20,548,316,1508,444,10824,10824,8303,0.29442970822281167,19.751824817518248,0.7670916481892092
open3dsg_recovery_relaxed_views_min2,relative_horizontal,depth_front_behind,"behind,front",RH3_source_x_axis_swap_control,50,548,316,1508,881,25582,25582,17373,0.5842175066312998,46.68248175182482,0.6791103119380815
open3dsg_recovery_relaxed_views_min2,relative_horizontal,depth_front_behind,"behind,front",RH3_source_x_axis_swap_control,100,548,316,1508,1282,44280,44280,24912,0.850132625994695,80.8029197080292,0.5626016260162602
open3dsg_recovery_relaxed_views_min2,relative_horizontal,depth_front_behind,"behind,front",RH4_source_x_sign_flip_control,5,548,316,1508,119,2738,2738,2734,0.07891246684350132,4.9963503649635035,0.9985390796201608
open3dsg_recovery_relaxed_views_min2,relative_horizontal,depth_front_behind,"behind,front",RH4_source_x_sign_flip_control,10,548,316,1508,290,5468,5468,5411,0.19230769230769232,9.978102189781023,0.9895757132406731
open3dsg_recovery_relaxed_views_min2,relative_horizontal,depth_front_behind,"behind,front",RH4_source_x_sign_flip_control,20,548,316,1508,570,10824,10824,10510,0.3779840848806366,19.751824817518248,0.970990391722099
open3dsg_recovery_relaxed_views_min2,relative_horizontal,depth_front_behind,"behind,front",RH4_source_x_sign_flip_control,50,548,316,1508,1104,25582,25582,22136,0.7320954907161804,46.68248175182482,0.8652959111875538
open3dsg_recovery_relaxed_views_min2,relative_horizontal,depth_front_behind,"behind,front",RH4_source_x_sign_flip_control,100,548,316,1508,1387,44280,44280,26766,0.919761273209549,80.8029197080292,0.6044715447154472
vlsat_full_validation,relative_horizontal,lateral_left_right,"left,right",RH0_source_score,5,548,484,3426,1526,2740,2740,639,0.4454173963806188,5.0,0.2332116788321168
vlsat_full_validation,relative_horizontal,lateral_left_right,"left,right",RH0_source_score,10,548,484,3426,2363,5480,5480,1303,0.6897256275539988,10.0,0.23777372262773722
vlsat_full_validation,relative_horizontal,lateral_left_right,"left,right",RH0_source_score,20,548,484,3426,3044,10960,10960,2836,0.8884997081144191,20.0,0.2587591240875912
vlsat_full_validation,relative_horizontal,lateral_left_right,"left,right",RH0_source_score,50,548,484,3426,3375,27250,27250,9299,0.9851138353765324,49.72627737226277,0.34124770642201835
vlsat_full_validation,relative_horizontal,lateral_left_right,"left,right",RH0_source_score,100,548,484,3426,3410,52740,52740,24506,0.9953298307063632,96.24087591240875,0.46465680697762607
vlsat_full_validation,relative_horizontal,lateral_left_right,"left,right",RH1_source_x_frame_score,5,548,484,3426,1417,2740,2740,328,0.4136018680677175,5.0,0.11970802919708029
vlsat_full_validation,relative_horizontal,lateral_left_right,"left,right",RH1_source_x_frame_score,10,548,484,3426,2208,5480,5480,772,0.6444833625218914,10.0,0.14087591240875913
vlsat_full_validation,relative_horizontal,lateral_left_right,"left,right",RH1_source_x_frame_score,20,548,484,3426,2895,10960,10960,1741,0.8450087565674256,20.0,0.15885036496350366
vlsat_full_validation,relative_horizontal,lateral_left_right,"left,right",RH1_source_x_frame_score,50,548,484,3426,3302,27250,27250,5911,0.963806187974314,49.72627737226277,0.21691743119266055
vlsat_full_validation,relative_horizontal,lateral_left_right,"left,right",RH1_source_x_frame_score,100,548,484,3426,3400,52740,52740,16337,0.99241097489784,96.24087591240875,0.30976488433826316
vlsat_full_validation,relative_horizontal,lateral_left_right,"left,right",RH3_source_x_axis_swap_control,5,548,484,3426,1219,2740,2740,828,0.3558085230589609,5.0,0.3021897810218978
vlsat_full_validation,relative_horizontal,lateral_left_right,"left,right",RH3_source_x_axis_swap_control,10,548,484,3426,1938,5480,5480,1790,0.5656742556917689,10.0,0.3266423357664234
vlsat_full_validation,relative_horizontal,lateral_left_right,"left,right",RH3_source_x_axis_swap_control,20,548,484,3426,2561,10960,10960,4251,0.7475189725627553,20.0,0.38786496350364963
vlsat_full_validation,relative_horizontal,lateral_left_right,"left,right",RH3_source_x_axis_swap_control,50,548,484,3426,3073,27250,27250,14186,0.896964389959136,49.72627737226277,0.5205871559633027
vlsat_full_validation,relative_horizontal,lateral_left_right,"left,right",RH3_source_x_axis_swap_control,100,548,484,3426,3289,52740,52740,30499,0.9600116754232341,96.24087591240875,0.5782897231702693
vlsat_full_validation,relative_horizontal,lateral_left_right,"left,right",RH4_source_x_sign_flip_control,5,548,484,3426,1120,2740,2740,1219,0.3269118505545826,5.0,0.4448905109489051
vlsat_full_validation,relative_horizontal,lateral_left_right,"left,right",RH4_source_x_sign_flip_control,10,548,484,3426,1800,5480,5480,2436,0.5253940455341506,10.0,0.44452554744525546
