level,source_id,route_family,comparison,primary_score,baseline_score,metric,K,point_delta,ci_low_95,ci_high_95,n_bootstrap,unit_count
primary_success_weighted,ALL,PRIMARY,S2_source_x_Ce_minus_C2_source_x_wrong_T_Ce,S2_source_x_Ce,C2_source_x_wrong_T_Ce,Recall@K,20,0.2029478458049887,0.15776626016260165,0.24891614563891998,1000,2192
primary_success_weighted,ALL,PRIMARY,S2_source_x_Ce_minus_S1_Ce_only,S2_source_x_Ce,S1_Ce_only,Recall@K,20,0.5113378684807257,0.44913382850026684,0.5750644810754661,1000,2192
primary_success_weighted,ALL,PRIMARY,S2_source_x_Ce_minus_S0_source_score,S2_source_x_Ce,S0_source_score,Violation@K,20,-0.24309125964010284,-0.2518822172572696,-0.23509440970346324,1000,2192
primary_success_weighted,ALL,PRIMARY,S2_source_x_Ce_minus_A1_source_x_G_only,S2_source_x_Ce,A1_source_x_G_only,Violation@K,20,-0.22704737421961071,-0.23477645325575167,-0.21934543941151374,1000,2192
primary_success_weighted,ALL,PRIMARY,S2_source_x_Ce_minus_A2_source_x_TG_concat,S2_source_x_Ce,A2_source_x_TG_concat,Violation@K,20,-0.2302836944546456,-0.23886101194792853,-0.22220658929982384,1000,2192
primary_success_weighted,ALL,PRIMARY,S2_source_x_Ce_minus_C1_source_x_shuffled_Ce,S2_source_x_Ce,C1_source_x_shuffled_Ce,Violation@K,20,-0.27839239809034155,-0.288117207666264,-0.2697824487943824,1000,2192
primary_success_weighted,ALL,PRIMARY,S2_source_x_Ce_minus_C2_source_x_wrong_T_Ce,S2_source_x_Ce,C2_source_x_wrong_T_Ce,Violation@K,20,-0.5848099522585384,-0.602307929042673,-0.5685254475951022,1000,2192
primary_success_weighted,ALL,PRIMARY,S2_source_x_Ce_minus_S1_Ce_only,S2_source_x_Ce,S1_Ce_only,Violation@K,20,0.08529195739992655,0.08038314093525552,0.09015887287518502,1000,2192
primary_success_weighted,ALL,PRIMARY,S2_source_x_Ce_minus_S0_source_score,S2_source_x_Ce,S0_source_score,Recall@K,50,0.10317460317460314,0.0689244969058973,0.14069782049783797,1000,2192
primary_success_weighted,ALL,PRIMARY,S2_source_x_Ce_minus_A1_source_x_G_only,S2_source_x_Ce,A1_source_x_G_only,Recall@K,50,0.11791383219954643,0.08089631081756699,0.15914810087413941,1000,2192
primary_success_weighted,ALL,PRIMARY,S2_source_x_Ce_minus_A2_source_x_TG_concat,S2_source_x_Ce,A2_source_x_TG_concat,Recall@K,50,0.12698412698412698,0.08999004424778757,0.1684348814511522,1000,2192
primary_success_weighted,ALL,PRIMARY,S2_source_x_Ce_minus_C1_source_x_shuffled_Ce,S2_source_x_Ce,C1_source_x_shuffled_Ce,Recall@K,50,0.13378684807256236,0.10261140333465657,0.17058893225536656,1000,2192
primary_success_weighted,ALL,PRIMARY,S2_source_x_Ce_minus_C2_source_x_wrong_T_Ce,S2_source_x_Ce,C2_source_x_wrong_T_Ce,Recall@K,50,0.28458049886621306,0.22734560216432043,0.3503515820481324,1000,2192
primary_success_weighted,ALL,PRIMARY,S2_source_x_Ce_minus_S1_Ce_only,S2_source_x_Ce,S1_Ce_only,Recall@K,50,0.20408163265306112,0.1586870461190229,0.25130398181426516,1000,2192
primary_success_weighted,ALL,PRIMARY,S2_source_x_Ce_minus_S0_source_score,S2_source_x_Ce,S0_source_score,Violation@K,50,-0.2591989703210176,-0.26617467640809417,-0.2523941376534714,1000,2192
primary_success_weighted,ALL,PRIMARY,S2_source_x_Ce_minus_A1_source_x_G_only,S2_source_x_Ce,A1_source_x_G_only,Violation@K,50,-0.26188673531193213,-0.26888192352230694,-0.2550980040651171,1000,2192
primary_success_weighted,ALL,PRIMARY,S2_source_x_Ce_minus_A2_source_x_TG_concat,S2_source_x_Ce,A2_source_x_TG_concat,Violation@K,50,-0.24611977589339795,-0.2539596603564631,-0.23881231356146088,1000,2192
primary_success_weighted,ALL,PRIMARY,S2_source_x_Ce_minus_C1_source_x_shuffled_Ce,S2_source_x_Ce,C1_source_x_shuffled_Ce,Violation@K,50,-0.2823194276196245,-0.2897951340246583,-0.27495848347237506,1000,2192
primary_success_weighted,ALL,PRIMARY,S2_source_x_Ce_minus_C2_source_x_wrong_T_Ce,S2_source_x_Ce,C2_source_x_wrong_T_Ce,Violation@K,50,-0.5653581162931557,-0.5792889974091696,-0.5515478781849538,1000,2192
primary_success_weighted,ALL,PRIMARY,S2_source_x_Ce_minus_S1_Ce_only,S2_source_x_Ce,S1_Ce_only,Violation@K,50,0.08381284070260449,0.07930897745735589,0.08838667180835802,1000,2192
primary_success_weighted,ALL,PRIMARY,S2_source_x_Ce_minus_S0_source_score,S2_source_x_Ce,S0_source_score,Recall@K,100,0.0045351473922902175,0.0,0.011392983064562693,1000,2192
primary_success_weighted,ALL,PRIMARY,S2_source_x_Ce_minus_A1_source_x_G_only,S2_source_x_Ce,A1_source_x_G_only,Recall@K,100,0.027210884353741527,0.013796605079736369,0.04422798805710201,1000,2192
primary_success_weighted,ALL,PRIMARY,S2_source_x_Ce_minus_A2_source_x_TG_concat,S2_source_x_Ce,A2_source_x_TG_concat,Recall@K,100,0.04081632653061229,0.021103026987600262,0.06595145371306263,1000,2192
primary_success_weighted,ALL,PRIMARY,S2_source_x_Ce_minus_C1_source_x_shuffled_Ce,S2_source_x_Ce,C1_source_x_shuffled_Ce,Recall@K,100,0.04421768707482998,0.02771423637032167,0.062347813260933735,1000,2192
primary_success_weighted,ALL,PRIMARY,S2_source_x_Ce_minus_C2_source_x_wrong_T_Ce,S2_source_x_Ce,C2_source_x_wrong_T_Ce,Recall@K,100,0.07936507936507942,0.05341308693650689,0.11257085777270405,1000,2192
primary_success_weighted,ALL,PRIMARY,S2_source_x_Ce_minus_S1_Ce_only,S2_source_x_Ce,S1_Ce_only,Recall@K,100,0.0,0.0,0.0,1000,2192
primary_success_weighted,ALL,PRIMARY,S2_source_x_Ce_minus_S0_source_score,S2_source_x_Ce,S0_source_score,Violation@K,100,-0.1428726035868893,-0.14675176189391445,-0.13942920985458546,1000,2192
primary_success_weighted,ALL,PRIMARY,S2_source_x_Ce_minus_A1_source_x_G_only,S2_source_x_Ce,A1_source_x_G_only,Violation@K,100,-0.1445887445887446,-0.14830758276113998,-0.14128029231521716,1000,2192
primary_success_weighted,ALL,PRIMARY,S2_source_x_Ce_minus_A2_source_x_TG_concat,S2_source_x_Ce,A2_source_x_TG_concat,Violation@K,100,-0.1540867862296434,-0.15833863981052337,-0.1501499885114211,1000,2192
primary_success_weighted,ALL,PRIMARY,S2_source_x_Ce_minus_C1_source_x_shuffled_Ce,S2_source_x_Ce,C1_source_x_shuffled_Ce,Violation@K,100,-0.14337250051535766,-0.1473518410472615,-0.13975134951359117,1000,2192
primary_success_weighted,ALL,PRIMARY,S2_source_x_Ce_minus_C2_source_x_wrong_T_Ce,S2_source_x_Ce,C2_source_x_wrong_T_Ce,Violation@K,100,-0.29840754483611626,-0.3060392238693912,-0.2914088663805937,1000,2192
primary_success_weighted,ALL,PRIMARY,S2_source_x_Ce_minus_S1_Ce_only,S2_source_x_Ce,S1_Ce_only,Violation@K,100,0.0013296227581941489,0.0009015870888052863,0.0018565175267293342,1000,2192
