level,source_id,route_family,metric,score_id,K,point,ci_low_95,ci_high_95,n_bootstrap,unit_count
primary_success_weighted,ALL,PRIMARY,Recall@K,C2_source_x_wrong_T_Ce,20,0.5215419501133787,0.45454545454545453,0.5860567261304978,1000,2192
primary_success_weighted,ALL,PRIMARY,Violation@K,C2_source_x_wrong_T_Ce,20,0.6852965479250827,0.6720582699560929,0.6996154587470496,1000,2192
primary_success_weighted,ALL,PRIMARY,Recall@K,C2_source_x_wrong_T_Ce,50,0.6678004535147393,0.5950006457663,0.7320429832674327,1000,2192
primary_success_weighted,ALL,PRIMARY,Violation@K,C2_source_x_wrong_T_Ce,50,0.7313559963658389,0.7223822582142956,0.7408011215049809,1000,2192
primary_success_weighted,ALL,PRIMARY,Recall@K,C2_source_x_wrong_T_Ce,100,0.9206349206349206,0.887429142227296,0.9465869130634931,1000,2192
primary_success_weighted,ALL,PRIMARY,Violation@K,C2_source_x_wrong_T_Ce,100,0.6403267367553082,0.6368254021187145,0.6442203209747105,1000,2192
primary_success_weighted,ALL,PRIMARY,Recall@K,A1_source_x_G_only,5,0.3458049886621315,0.2976669135293235,0.39522577996715924,1000,2192
primary_success_weighted,ALL,PRIMARY,Violation@K,A1_source_x_G_only,5,0.2613179992698065,0.24954305969136947,0.27366790000289165,1000,2192
primary_success_weighted,ALL,PRIMARY,Recall@K,A1_source_x_G_only,10,0.47619047619047616,0.41680723204544273,0.5365229654008269,1000,2192
primary_success_weighted,ALL,PRIMARY,Violation@K,A1_source_x_G_only,10,0.28119291194738766,0.2732938709201675,0.28986348899374914,1000,2192
primary_success_weighted,ALL,PRIMARY,Recall@K,A1_source_x_G_only,20,0.6462585034013606,0.5895854547281038,0.702060599875126,1000,2192
primary_success_weighted,ALL,PRIMARY,Violation@K,A1_source_x_G_only,20,0.32753396988615496,0.32143151981863227,0.333710546233441,1000,2192
primary_success_weighted,ALL,PRIMARY,Recall@K,A1_source_x_G_only,50,0.8344671201814059,0.7885980393090218,0.8740640780735903,1000,2192
primary_success_weighted,ALL,PRIMARY,Violation@K,A1_source_x_G_only,50,0.42788461538461536,0.42404833869858244,0.43157271824253607,1000,2192
primary_success_weighted,ALL,PRIMARY,Recall@K,A1_source_x_G_only,100,0.9727891156462585,0.9557720119428981,0.9862033949202635,1000,2192
primary_success_weighted,ALL,PRIMARY,Violation@K,A1_source_x_G_only,100,0.4865079365079365,0.48506501716210326,0.4879963738930752,1000,2192
primary_success_weighted,ALL,PRIMARY,Recall@K,A2_source_x_TG_concat,5,0.35034013605442177,0.30134063651867743,0.40001308900523563,1000,2192
primary_success_weighted,ALL,PRIMARY,Violation@K,A2_source_x_TG_concat,5,0.3043081416575392,0.29180196179931545,0.31696776957282957,1000,2192
primary_success_weighted,ALL,PRIMARY,Recall@K,A2_source_x_TG_concat,10,0.48299319727891155,0.4239058051773222,0.541566626069145,1000,2192
primary_success_weighted,ALL,PRIMARY,Violation@K,A2_source_x_TG_concat,10,0.2990500548045305,0.29084016888632686,0.30805713876244023,1000,2192
primary_success_weighted,ALL,PRIMARY,Recall@K,A2_source_x_TG_concat,20,0.6292517006802721,0.5656569645800753,0.6876664376834772,1000,2192
primary_success_weighted,ALL,PRIMARY,Violation@K,A2_source_x_TG_concat,20,0.33077029012118986,0.32386979634579444,0.3376961098907382,1000,2192
primary_success_weighted,ALL,PRIMARY,Recall@K,A2_source_x_TG_concat,50,0.8253968253968254,0.7795388902805611,0.8654768627163392,1000,2192
primary_success_weighted,ALL,PRIMARY,Violation@K,A2_source_x_TG_concat,50,0.4121176559660812,0.40727494773288975,0.4171074396493706,1000,2192
primary_success_weighted,ALL,PRIMARY,Recall@K,A2_source_x_TG_concat,100,0.9591836734693877,0.9340485462869373,0.9788969730123998,1000,2192
primary_success_weighted,ALL,PRIMARY,Violation@K,A2_source_x_TG_concat,100,0.4960059781488353,0.49427097429204586,0.4977980686167895,1000,2192
