level,source_id,route_family,metric,score_id,K,point,ci_low_95,ci_high_95,n_bootstrap,unit_count
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,Violation@K,C1_source_x_shuffled_Ce,20,0.48586474501108645,0.47806034906588,0.4933538827454398,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,Recall@K,C1_source_x_shuffled_Ce,50,0.5848214285714286,0.49493686868686876,0.6775815986972529,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,Violation@K,C1_source_x_shuffled_Ce,50,0.493159252599484,0.48900138431197154,0.49718774638723606,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,Recall@K,C1_source_x_shuffled_Ce,100,0.9017857142857143,0.8529291224686595,0.9449268266628685,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,Violation@K,C1_source_x_shuffled_Ce,100,0.4996386630532972,0.49772280174825706,0.5015470159317436,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,Recall@K,C2_source_x_wrong_T_Ce,5,0.0,0.0,0.0,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,Violation@K,C2_source_x_wrong_T_Ce,5,0.997808619430241,0.995248538011696,0.9996350364963503,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,Recall@K,C2_source_x_wrong_T_Ce,10,0.0,0.0,0.0,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,Violation@K,C2_source_x_wrong_T_Ce,10,0.9879297732260425,0.9820775420629115,0.993050475493782,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,Recall@K,C2_source_x_wrong_T_Ce,20,0.008928571428571428,0.0,0.030773195876288656,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,Violation@K,C2_source_x_wrong_T_Ce,20,0.9626755358462675,0.9542590922107674,0.9711012750392608,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,Recall@K,C2_source_x_wrong_T_Ce,50,0.20089285714285715,0.10745967741935485,0.30978804347826083,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,Violation@K,C2_source_x_wrong_T_Ce,50,0.8491908373074818,0.8356355712477852,0.8637930285296558,1000,548
