level,source_id,route_family,comparison,primary_score,baseline_score,metric,K,point_delta,ci_low_95,ci_high_95,n_bootstrap,unit_count
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,S2_source_x_Ce_minus_C2_source_x_wrong_T_Ce,S2_source_x_Ce,C2_source_x_wrong_T_Ce,Violation@K,10,-0.9742136064374544,-0.9842725597283855,-0.9626053885630498,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,S2_source_x_Ce_minus_S1_Ce_only,S2_source_x_Ce,S1_Ce_only,Violation@K,10,0.0032918800292611565,0.0016441359152356595,0.0052921158149073656,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,S2_source_x_Ce_minus_S0_source_score,S2_source_x_Ce,S0_source_score,Recall@K,20,0.2544642857142857,0.17543407487791646,0.33088843981301136,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,S2_source_x_Ce_minus_A1_source_x_G_only,S2_source_x_Ce,A1_source_x_G_only,Recall@K,20,0.1919642857142857,0.09410115448048374,0.29014077853363573,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,S2_source_x_Ce_minus_A2_source_x_TG_concat,S2_source_x_Ce,A2_source_x_TG_concat,Recall@K,20,0.23660714285714285,0.16246975806451613,0.31634247448979586,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,S2_source_x_Ce_minus_C1_source_x_shuffled_Ce,S2_source_x_Ce,C1_source_x_shuffled_Ce,Recall@K,20,0.1607142857142857,0.0738944856839873,0.2479053843759726,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,S2_source_x_Ce_minus_C2_source_x_wrong_T_Ce,S2_source_x_Ce,C2_source_x_wrong_T_Ce,Recall@K,20,0.40178571428571425,0.31079054054054056,0.4957236842105262,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,S2_source_x_Ce_minus_S1_Ce_only,S2_source_x_Ce,S1_Ce_only,Recall@K,20,0.0401785714285714,-0.01724437260536396,0.10957589285714281,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,S2_source_x_Ce_minus_S0_source_score,S2_source_x_Ce,S0_source_score,Violation@K,20,-0.43348115299334816,-0.44430197217161194,-0.4230468105089257,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,S2_source_x_Ce_minus_A1_source_x_G_only,S2_source_x_Ce,A1_source_x_G_only,Violation@K,20,-0.4012379896526238,-0.4112803927030598,-0.39121910568033447,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,S2_source_x_Ce_minus_A2_source_x_TG_concat,S2_source_x_Ce,A2_source_x_TG_concat,Violation@K,20,-0.40890613451589064,-0.4189066040927346,-0.39914691106724787,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,S2_source_x_Ce_minus_C1_source_x_shuffled_Ce,S2_source_x_Ce,C1_source_x_shuffled_Ce,Violation@K,20,-0.44623059866962306,-0.4569189290060566,-0.43504317972038065,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,S2_source_x_Ce_minus_C2_source_x_wrong_T_Ce,S2_source_x_Ce,C2_source_x_wrong_T_Ce,Violation@K,20,-0.9230413895048041,-0.9397601387413844,-0.9062964304386111,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,S2_source_x_Ce_minus_S1_Ce_only,S2_source_x_Ce,S1_Ce_only,Violation@K,20,0.007298595713229862,0.00538233110616184,0.009488015748669087,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,S2_source_x_Ce_minus_S0_source_score,S2_source_x_Ce,S0_source_score,Recall@K,50,0.2366071428571429,0.13485692558007928,0.3291922169811321,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,relative_vertical,S2_source_x_Ce_minus_A1_source_x_G_only,S2_source_x_Ce,A1_source_x_G_only,Recall@K,50,0.2901785714285714,0.1780808945620589,0.39002722772277215,1000,548
