metric_name,stat,point,ci_low_95,ci_high_95,n_bootstrap
p_rel_calibrated,auroc,0.7238001824379887,0.7173103917219286,0.7302707941865,500
p_rel_calibrated,auprc,0.5035398891238412,0.48493185452547294,0.5073696210257751,500
p_rel_calibrated,balanced_accuracy,0.6922862320291499,0.6856078886515031,0.6981281183450937,500
p_rel_calibrated,macro_F1,0.667107257475335,0.6603483629640681,0.6729494351132183,500
p_rel_calibrated,Brier,0.2642694809258186,0.25959903984439564,0.2691198812066759,500
p_rel_calibrated,NLL,2.013437940076444,1.9614846374648558,2.0599822435390216,500
p_rel_calibrated,ECE_10,0.22345786060584388,0.2178500142210515,0.22977222264107178,500
p_obs_calibrated,auroc,1.0,1.0,1.0,500
p_obs_calibrated,auprc,1.0,1.0,1.0,500
p_obs_calibrated,balanced_accuracy,1.0,1.0,1.0,500
p_obs_calibrated,macro_F1,1.0,1.0,1.0,500
p_obs_calibrated,Brier,1.0000000000102709e-12,1.000000000010087e-12,1.0000000000103044e-12,500
p_obs_calibrated,NLL,1.000000500029597e-06,1.000000500029597e-06,1.000000500029597e-06,500
p_obs_calibrated,ECE_10,1.0000000454876134e-06,1.000000044836898e-06,1.000000046165041e-06,500
