target,selected_calibrator,calibrator,params,calibration_ECE_10,calibration_Brier,calibration_NLL
p_obs,isotonic,raw,{},0.035916463693973576,0.0016148812046569445,0.03675129417586662
p_obs,isotonic,temperature,"{""T"": 0.25, ""calibration_nll"": 5.304739151844968e-06}",5.104989552095651e-06,6.669840499664935e-11,5.304739151844968e-06
p_obs,isotonic,isotonic,"{""block_count"": 5220}",9.999999999391817e-07,1.0000000000115413e-12,1.0000005000290317e-06
p_rel,isotonic,raw,{},0.09521888219433058,0.053058547554774654,0.2017959064301011
p_rel,isotonic,temperature,"{""T"": 0.35, ""calibration_nll"": 0.12284095113739775}",0.022977128417000427,0.03767228664111842,0.12284095113739775
p_rel,isotonic,isotonic,"{""block_count"": 472}",4.4252873435846915e-07,0.03358480572477315,0.10310420690652324
