level,source_id,route_family,predicate_label,score_id,K,unit_count,gt_units,gt_total,gt_selected,Recall@K,selected_total,Selected@K_mean,violation_denominator,violation_count,Violation@K
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,right,S0_source_score,5,416,416,1287,0,0.0,5,0.01201923076923077,5,4,0.8
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,right,S0_source_score,10,416,416,1287,0,0.0,52,0.125,52,27,0.5192307692307693
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,right,S0_source_score,20,416,416,1287,9,0.006993006993006993,360,0.8653846153846154,360,189,0.525
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,right,S0_source_score,50,416,416,1287,100,0.0777000777000777,3009,7.233173076923077,3009,1502,0.4991691591890994
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,right,S0_source_score,100,416,416,1287,544,0.4226884226884227,12341,29.665865384615383,12341,6134,0.4970423790616644
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,right,S2_source_x_Ce,5,416,416,1287,1,0.000777000777000777,57,0.13701923076923078,57,2,0.03508771929824561
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,right,S2_source_x_Ce,10,416,416,1287,7,0.005439005439005439,265,0.6370192307692307,265,9,0.033962264150943396
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,right,S2_source_x_Ce,20,416,416,1287,61,0.0473970473970474,1223,2.9399038461538463,1223,36,0.029435813573180702
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,right,S2_source_x_Ce,50,416,416,1287,356,0.2766122766122766,6002,14.427884615384615,6002,351,0.05848050649783405
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,right,S2_source_x_Ce,100,416,416,1287,786,0.6107226107226107,12205,29.338942307692307,12205,1830,0.14993854977468252
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,right,A1_source_x_G_only,5,416,416,1287,0,0.0,45,0.10817307692307693,45,1,0.022222222222222223
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,right,A1_source_x_G_only,10,416,416,1287,2,0.001554001554001554,210,0.5048076923076923,210,13,0.06190476190476191
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,right,A1_source_x_G_only,20,416,416,1287,19,0.014763014763014764,841,2.0216346153846154,841,73,0.08680142687277051
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,right,A1_source_x_G_only,50,416,416,1287,192,0.14918414918414918,4370,10.504807692307692,4370,662,0.15148741418764303
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,right,A1_source_x_G_only,100,416,416,1287,606,0.47086247086247085,11393,27.38701923076923,11393,2839,0.24918809795488459
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,right,A2_source_x_TG_concat,5,416,416,1287,0,0.0,1,0.002403846153846154,1,1,1.0
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,right,A2_source_x_TG_concat,10,416,416,1287,0,0.0,16,0.038461538461538464,16,12,0.75
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,right,A2_source_x_TG_concat,20,416,416,1287,1,0.000777000777000777,161,0.3870192307692308,161,83,0.515527950310559
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,right,A2_source_x_TG_concat,50,416,416,1287,51,0.039627039627039624,1651,3.96875,1651,838,0.5075711689884919
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,right,A2_source_x_TG_concat,100,416,416,1287,321,0.2494172494172494,7565,18.185096153846153,7565,3800,0.5023132848645075
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,right,C1_source_x_shuffled_Ce,5,416,416,1287,1,0.000777000777000777,54,0.12980769230769232,54,33,0.6111111111111112
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,right,C1_source_x_shuffled_Ce,10,416,416,1287,9,0.006993006993006993,297,0.7139423076923077,297,147,0.494949494949495
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,right,C1_source_x_shuffled_Ce,20,416,416,1287,50,0.03885003885003885,1315,3.1610576923076925,1315,676,0.5140684410646388
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,right,C1_source_x_shuffled_Ce,50,416,416,1287,274,0.2128982128982129,6358,15.283653846153847,6358,3146,0.49480968858131485
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,right,C1_source_x_shuffled_Ce,100,416,416,1287,603,0.46853146853146854,12825,30.829326923076923,12825,6362,0.4960623781676413
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,right,C2_source_x_wrong_T_Ce,5,416,416,1287,0,0.0,63,0.15144230769230768,63,58,0.9206349206349206
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,right,C2_source_x_wrong_T_Ce,10,416,416,1287,3,0.002331002331002331,309,0.7427884615384616,309,298,0.9644012944983819
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,right,C2_source_x_wrong_T_Ce,20,416,416,1287,18,0.013986013986013986,1410,3.389423076923077,1410,1355,0.9609929078014184
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,right,C2_source_x_wrong_T_Ce,50,416,416,1287,121,0.09401709401709402,6822,16.39903846153846,6822,6338,0.9290530636177075
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,right,C2_source_x_wrong_T_Ce,100,416,416,1287,361,0.2804972804972805,13477,32.39663461538461,13477,11183,0.8297840765749054
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,front,S0_source_score,5,316,316,754,4,0.005305039787798408,128,0.4050632911392405,128,67,0.5234375
source_predicate,open3dsg_recovery_relaxed_views_min2,relative_horizontal,front,S0_source_score,10,316,316,754,8,0.010610079575596816,503,1.5917721518987342,503,263,0.5228628230616302
