level,source_id,route_family,score_id,K,unit_count,gt_units,gt_total,gt_selected,Recall@K,selected_total,Selected@K_mean,violation_denominator,violation_count,Violation@K
source_family,open3dsg_recovery_relaxed_views_min2,relative_horizontal,D6_sign_flip_only,5,548,430,4082,98,0.0240078392944635,2740,5.0,2740,2738,0.9992700729927008
source_family,open3dsg_recovery_relaxed_views_min2,relative_horizontal,D6_sign_flip_only,10,548,430,4082,194,0.04752572268495835,5476,9.992700729927007,5476,5468,0.9985390796201608
source_family,open3dsg_recovery_relaxed_views_min2,relative_horizontal,D6_sign_flip_only,20,548,430,4082,398,0.09750122488975992,10936,19.956204379562045,10936,10824,0.9897585954645208
source_family,open3dsg_recovery_relaxed_views_min2,relative_horizontal,D6_sign_flip_only,50,548,430,4082,1032,0.2528172464478197,26924,49.13138686131387,26924,25582,0.9501559946516119
source_family,open3dsg_recovery_relaxed_views_min2,relative_horizontal,D6_sign_flip_only,100,548,430,4082,1784,0.4370406663400294,51164,93.36496350364963,51164,44280,0.8654522711281369
source_family,vlsat_full_validation,relative_horizontal,D0_source_score,5,548,494,5474,1590,0.29046401169163316,2740,5.0,2740,820,0.29927007299270075
source_family,vlsat_full_validation,relative_horizontal,D0_source_score,10,548,494,5474,2596,0.474241870661308,5480,10.0,5480,1978,0.36094890510948907
source_family,vlsat_full_validation,relative_horizontal,D0_source_score,20,548,494,5474,3808,0.6956521739130435,10960,20.0,10960,4645,0.4238138686131387
source_family,vlsat_full_validation,relative_horizontal,D0_source_score,50,548,494,5474,5052,0.9229082937522836,27400,50.0,27400,12625,0.4607664233576642
source_family,vlsat_full_validation,relative_horizontal,D0_source_score,100,548,494,5474,5375,0.9819145049324077,54500,99.45255474452554,54500,25558,0.468954128440367
source_family,vlsat_full_validation,relative_horizontal,D1_source_x_world_xy_frame,5,548,494,5474,1424,0.2601388381439532,2740,5.0,2740,179,0.06532846715328468
source_family,vlsat_full_validation,relative_horizontal,D1_source_x_world_xy_frame,10,548,494,5474,2287,0.41779320423821703,5480,10.0,5480,586,0.10693430656934307
source_family,vlsat_full_validation,relative_horizontal,D1_source_x_world_xy_frame,20,548,494,5474,3285,0.6001096090610157,10960,20.0,10960,1840,0.1678832116788321
source_family,vlsat_full_validation,relative_horizontal,D1_source_x_world_xy_frame,50,548,494,5474,4426,0.8085495067592254,27400,50.0,27400,6619,0.24156934306569344
source_family,vlsat_full_validation,relative_horizontal,D1_source_x_world_xy_frame,100,548,494,5474,5036,0.9199853854585313,54500,99.45255474452554,54500,15992,0.29343119266055046
source_family,vlsat_full_validation,relative_horizontal,D2_source_x_axis_swap,5,548,494,5474,1196,0.2184873949579832,2740,5.0,2740,1588,0.5795620437956205
source_family,vlsat_full_validation,relative_horizontal,D2_source_x_axis_swap,10,548,494,5474,1964,0.3587869930580928,5480,10.0,5480,3269,0.5965328467153285
source_family,vlsat_full_validation,relative_horizontal,D2_source_x_axis_swap,20,548,494,5474,2916,0.5327000365363537,10960,20.0,10960,6680,0.6094890510948905
source_family,vlsat_full_validation,relative_horizontal,D2_source_x_axis_swap,50,548,494,5474,4230,0.77274388016076,27400,50.0,27400,16746,0.6111678832116788
source_family,vlsat_full_validation,relative_horizontal,D2_source_x_axis_swap,100,548,494,5474,4889,0.8931311655096821,54500,99.45255474452554,54500,32943,0.6044587155963302
source_family,vlsat_full_validation,relative_horizontal,D3_source_x_sign_flip,5,548,494,5474,1045,0.19090244793569602,2740,5.0,2740,2446,0.8927007299270073
source_family,vlsat_full_validation,relative_horizontal,D3_source_x_sign_flip,10,548,494,5474,1746,0.31896236755571794,5480,10.0,5480,4641,0.8468978102189781
source_family,vlsat_full_validation,relative_horizontal,D3_source_x_sign_flip,20,548,494,5474,2696,0.4925100474972598,10960,20.0,10960,8579,0.7827554744525548
source_family,vlsat_full_validation,relative_horizontal,D3_source_x_sign_flip,50,548,494,5474,4152,0.7584947022287176,27400,50.0,27400,19369,0.7068978102189781
source_family,vlsat_full_validation,relative_horizontal,D3_source_x_sign_flip,100,548,494,5474,4867,0.8891121666057727,54500,99.45255474452554,54500,36502,0.6697614678899082
source_family,vlsat_full_validation,relative_horizontal,D4_world_xy_frame_only,5,548,494,5474,75,0.01370113262696383,2740,5.0,2740,0,0.0
source_family,vlsat_full_validation,relative_horizontal,D4_world_xy_frame_only,10,548,494,5474,168,0.030690537084398978,5480,10.0,5480,0,0.0
source_family,vlsat_full_validation,relative_horizontal,D4_world_xy_frame_only,20,548,494,5474,410,0.07489952502740227,10960,20.0,10960,0,0.0
source_family,vlsat_full_validation,relative_horizontal,D4_world_xy_frame_only,50,548,494,5474,1462,0.2670807453416149,27400,50.0,27400,150,0.005474452554744526
source_family,vlsat_full_validation,relative_horizontal,D4_world_xy_frame_only,100,548,494,5474,2854,0.5213737668980636,54500,99.45255474452554,54500,1760,0.032293577981651375
source_family,vlsat_full_validation,relative_horizontal,D5_axis_swap_only,5,548,494,5474,58,0.010595542564852027,2740,5.0,2740,2444,0.891970802919708
source_family,vlsat_full_validation,relative_horizontal,D5_axis_swap_only,10,548,494,5474,160,0.029229082937522834,5480,10.0,5480,4868,0.8883211678832117
source_family,vlsat_full_validation,relative_horizontal,D5_axis_swap_only,20,548,494,5474,356,0.0650347095359883,10960,20.0,10960,9654,0.8808394160583941
source_family,vlsat_full_validation,relative_horizontal,D5_axis_swap_only,50,548,494,5474,1150,0.21008403361344538,27400,50.0,27400,22882,0.8351094890510949
source_family,vlsat_full_validation,relative_horizontal,D5_axis_swap_only,100,548,494,5474,2132,0.38947753014249176,54500,99.45255474452554,54500,41186,0.7557064220183486
source_family,vlsat_full_validation,relative_horizontal,D6_sign_flip_only,5,548,494,5474,80,0.014614541468761417,2740,5.0,2740,2740,1.0
source_family,vlsat_full_validation,relative_horizontal,D6_sign_flip_only,10,548,494,5474,166,0.03032517354767994,5480,10.0,5480,5480,1.0
source_family,vlsat_full_validation,relative_horizontal,D6_sign_flip_only,20,548,494,5474,320,0.05845816587504567,10960,20.0,10960,10960,1.0
source_family,vlsat_full_validation,relative_horizontal,D6_sign_flip_only,50,548,494,5474,976,0.1782974059188893,27400,50.0,27400,27250,0.9945255474452555
source_family,vlsat_full_validation,relative_horizontal,D6_sign_flip_only,100,548,494,5474,2018,0.36865180854950674,54500,99.45255474452554,54500,52740,0.9677064220183487
