source_id,K,comparison,S2_Recall@K,baseline_Recall@K,delta_Recall@K,S2_Violation@K,baseline_Violation@K,delta_Violation@K,recall_not_large_loss,violation_nonincrease
open3dsg_recovery_relaxed_views_min2,5,S2_source_x_Ce_minus_S0_source_score,0.016168544830965213,0.00514453699167075,0.011024007839294463,0.964963503649635,0.4908759124087591,0.4740875912408759,True,False
open3dsg_recovery_relaxed_views_min2,5,S2_source_x_Ce_minus_A1_source_x_G_only,0.016168544830965213,0.008819206271435572,0.007349338559529642,0.964963503649635,0.4211678832116788,0.5437956204379562,True,False
open3dsg_recovery_relaxed_views_min2,5,S2_source_x_Ce_minus_A2_source_x_TG_concat,0.016168544830965213,0.006369426751592357,0.009799118079372856,0.964963503649635,0.5602189781021898,0.4047445255474452,True,False
open3dsg_recovery_relaxed_views_min2,5,S2_source_x_Ce_minus_C1_source_x_shuffled_Ce,0.016168544830965213,0.014453699167074964,0.0017148456638902496,0.964963503649635,0.49452554744525545,0.47043795620437956,True,False
open3dsg_recovery_relaxed_views_min2,5,S2_source_x_Ce_minus_C2_source_x_wrong_T_Ce,0.016168544830965213,0.007104360607545321,0.009064184223419893,0.964963503649635,0.03321167883211679,0.9317518248175183,True,False
open3dsg_recovery_relaxed_views_min2,10,S2_source_x_Ce_minus_S0_source_score,0.03723664870161685,0.021313081822635964,0.015923566878980888,0.9260409057706355,0.485390796201607,0.44065010956902845,True,False
open3dsg_recovery_relaxed_views_min2,10,S2_source_x_Ce_minus_A1_source_x_G_only,0.03723664870161685,0.02278294953454189,0.014453699167074962,0.9260409057706355,0.4380934989043097,0.48794740686632576,True,False
open3dsg_recovery_relaxed_views_min2,10,S2_source_x_Ce_minus_A2_source_x_TG_concat,0.03723664870161685,0.023762861342479177,0.013473787359137675,0.9260409057706355,0.5219138056975895,0.404127100073046,True,False
open3dsg_recovery_relaxed_views_min2,10,S2_source_x_Ce_minus_C1_source_x_shuffled_Ce,0.03723664870161685,0.03331700146986771,0.003919647231749139,0.9260409057706355,0.49086924762600437,0.4351716581446311,True,False
open3dsg_recovery_relaxed_views_min2,10,S2_source_x_Ce_minus_C2_source_x_wrong_T_Ce,0.03723664870161685,0.01567858892699657,0.021558059774620282,0.9260409057706355,0.07560262965668371,0.8504382761139517,True,False
open3dsg_recovery_relaxed_views_min2,20,S2_source_x_Ce_minus_S0_source_score,0.09578637922586968,0.06614404703576678,0.0296423321901029,0.8282735918068763,0.48637527432333577,0.34189831748354055,True,False
open3dsg_recovery_relaxed_views_min2,20,S2_source_x_Ce_minus_A1_source_x_G_only,0.09578637922586968,0.05756981871631553,0.038216560509554146,0.8282735918068763,0.4489758595464521,0.37929773226042424,True,False
open3dsg_recovery_relaxed_views_min2,20,S2_source_x_Ce_minus_A2_source_x_TG_concat,0.09578637922586968,0.06246937775600196,0.03331700146986771,0.8282735918068763,0.5062179956108266,0.32205559619604973,True,False
open3dsg_recovery_relaxed_views_min2,20,S2_source_x_Ce_minus_C1_source_x_shuffled_Ce,0.09578637922586968,0.07545320921117099,0.020333170014698684,0.8282735918068763,0.5071324067300659,0.32114118507681044,True,False
open3dsg_recovery_relaxed_views_min2,20,S2_source_x_Ce_minus_C2_source_x_wrong_T_Ce,0.09578637922586968,0.030622243998040175,0.0651641352278295,0.8282735918068763,0.1768471104608632,0.6514264813460131,True,False
open3dsg_recovery_relaxed_views_min2,50,S2_source_x_Ce_minus_S0_source_score,0.2907888290053895,0.1761391474767271,0.1146496815286624,0.6226786510176794,0.49405734660525924,0.12862130441242015,True,False
open3dsg_recovery_relaxed_views_min2,50,S2_source_x_Ce_minus_A1_source_x_G_only,0.2907888290053895,0.18740813326800587,0.10338069573738362,0.6226786510176794,0.4558015153766157,0.1668771356410637,True,False
open3dsg_recovery_relaxed_views_min2,50,S2_source_x_Ce_minus_A2_source_x_TG_concat,0.2907888290053895,0.1795688388045076,0.11121999020088189,0.6226786510176794,0.4967686822166097,0.1259099688010697,True,False
open3dsg_recovery_relaxed_views_min2,50,S2_source_x_Ce_minus_C1_source_x_shuffled_Ce,0.2907888290053895,0.2150906418422342,0.0756981871631553,0.6226786510176794,0.5023770613578963,0.1203015896597831,True,False
open3dsg_recovery_relaxed_views_min2,50,S2_source_x_Ce_minus_C2_source_x_wrong_T_Ce,0.2907888290053895,0.10215580597746203,0.18863302302792745,0.6226786510176794,0.386309612241866,0.2363690387758134,True,False
open3dsg_recovery_relaxed_views_min2,100,S2_source_x_Ce_minus_S0_source_score,0.623468887800098,0.4005389514943655,0.2229299363057325,0.528965678993042,0.5007817997029161,0.02818387929012589,True,False
open3dsg_recovery_relaxed_views_min2,100,S2_source_x_Ce_minus_A1_source_x_G_only,0.623468887800098,0.42136207741303283,0.20210681038706518,0.528965678993042,0.4827808615432726,0.04618481744976943,True,False
open3dsg_recovery_relaxed_views_min2,100,S2_source_x_Ce_minus_A2_source_x_TG_concat,0.623468887800098,0.3855952964233219,0.2378735913767761,0.528965678993042,0.4992182002970839,0.02974747869595812,True,False
open3dsg_recovery_relaxed_views_min2,100,S2_source_x_Ce_minus_C1_source_x_shuffled_Ce,0.623468887800098,0.46717295443410095,0.15629593336599706,0.528965678993042,0.5001563599405833,0.02880931905245876,True,False
open3dsg_recovery_relaxed_views_min2,100,S2_source_x_Ce_minus_C2_source_x_wrong_T_Ce,0.623468887800098,0.2748652621264086,0.3486036256736894,0.528965678993042,0.47079978109608317,0.05816589789695886,True,False
vlsat_full_validation,5,S2_source_x_Ce_minus_S0_source_score,0.2742053343076361,0.29046401169163316,-0.016258677383997056,0.27226277372262775,0.29927007299270075,-0.027007299270073004,False,True
vlsat_full_validation,5,S2_source_x_Ce_minus_A1_source_x_G_only,0.2742053343076361,0.28717573986116185,-0.012970405553525743,0.27226277372262775,0.3072992700729927,-0.03503649635036493,False,True
vlsat_full_validation,5,S2_source_x_Ce_minus_A2_source_x_TG_concat,0.2742053343076361,0.2855316039459262,-0.011326269638290087,0.27226277372262775,0.30474452554744524,-0.032481751824817495,False,True
vlsat_full_validation,5,S2_source_x_Ce_minus_C1_source_x_shuffled_Ce,0.2742053343076361,0.24241870661308001,0.03178662769455609,0.27226277372262775,0.36496350364963503,-0.09270072992700729,True,True
vlsat_full_validation,5,S2_source_x_Ce_minus_C2_source_x_wrong_T_Ce,0.2742053343076361,0.2422360248447205,0.031969309462915596,0.27226277372262775,0.40948905109489053,-0.13722627737226278,True,True
vlsat_full_validation,10,S2_source_x_Ce_minus_S0_source_score,0.44903178662769455,0.474241870661308,-0.025210084033613467,0.3494525547445255,0.36094890510948907,-0.011496350364963548,False,True
vlsat_full_validation,10,S2_source_x_Ce_minus_A1_source_x_G_only,0.44903178662769455,0.47259773474607236,-0.02356594811837781,0.3494525547445255,0.3673357664233577,-0.017883211678832167,False,True
vlsat_full_validation,10,S2_source_x_Ce_minus_A2_source_x_TG_concat,0.44903178662769455,0.4682133723054439,-0.019181585677749358,0.3494525547445255,0.36514598540145987,-0.01569343065693435,False,True
vlsat_full_validation,10,S2_source_x_Ce_minus_C1_source_x_shuffled_Ce,0.44903178662769455,0.3980635732553891,0.05096821337230545,0.3494525547445255,0.41186131386861313,-0.06240875912408761,True,True
vlsat_full_validation,10,S2_source_x_Ce_minus_C2_source_x_wrong_T_Ce,0.44903178662769455,0.41304347826086957,0.035988308366824984,0.3494525547445255,0.4279197080291971,-0.07846715328467158,True,True
vlsat_full_validation,20,S2_source_x_Ce_minus_S0_source_score,0.6642309097552064,0.6956521739130435,-0.03142126415783708,0.4226277372262774,0.4238138686131387,-0.0011861313868613,False,True
vlsat_full_validation,20,S2_source_x_Ce_minus_A1_source_x_G_only,0.6642309097552064,0.6940080379978079,-0.02977712824260148,0.4226277372262774,0.4229014598540146,-0.00027372262773722733,False,True
vlsat_full_validation,20,S2_source_x_Ce_minus_A2_source_x_TG_concat,0.6642309097552064,0.6899890390938984,-0.025758129338692037,0.4226277372262774,0.42235401459854016,0.00027372262773722733,False,False
vlsat_full_validation,20,S2_source_x_Ce_minus_C1_source_x_shuffled_Ce,0.6642309097552064,0.5949945195469493,0.06923639020825711,0.4226277372262774,0.4413321167883212,-0.018704379562043794,True,True
vlsat_full_validation,20,S2_source_x_Ce_minus_C2_source_x_wrong_T_Ce,0.6642309097552064,0.6395688710266716,0.024662038728534785,0.4226277372262774,0.4406934306569343,-0.018065693430656893,True,True
vlsat_full_validation,50,S2_source_x_Ce_minus_S0_source_score,0.9039093898428937,0.9229082937522836,-0.018998903909389853,0.4731021897810219,0.4606204379562044,0.012481751824817533,False,False
vlsat_full_validation,50,S2_source_x_Ce_minus_A1_source_x_G_only,0.9039093898428937,0.9218122031421264,-0.01790281329923271,0.4731021897810219,0.46124087591240875,0.011861313868613166,False,False
vlsat_full_validation,50,S2_source_x_Ce_minus_A2_source_x_TG_concat,0.9039093898428937,0.9201680672268907,-0.016258677383997,0.4731021897810219,0.4612043795620438,0.011897810218978122,False,False
vlsat_full_validation,50,S2_source_x_Ce_minus_C1_source_x_shuffled_Ce,0.9039093898428937,0.8363171355498721,0.06759225429302163,0.4731021897810219,0.4593795620437956,0.013722627737226323,True,False
vlsat_full_validation,50,S2_source_x_Ce_minus_C2_source_x_wrong_T_Ce,0.9039093898428937,0.8905736207526489,0.013335769090244809,0.4731021897810219,0.4451094890510949,0.027992700729927045,True,False
vlsat_full_validation,100,S2_source_x_Ce_minus_S0_source_score,0.9778955060284984,0.9820971867007673,-0.004201680672268893,0.4852110091743119,0.4689908256880734,0.01622018348623855,True,False
vlsat_full_validation,100,S2_source_x_Ce_minus_A1_source_x_G_only,0.9778955060284984,0.9813664596273292,-0.0034709535988307616,0.4852110091743119,0.4684587155963303,0.016752293577981636,True,False
vlsat_full_validation,100,S2_source_x_Ce_minus_A2_source_x_TG_concat,0.9778955060284984,0.9819145049324077,-0.004018998903909332,0.4852110091743119,0.4675412844036697,0.017669724770642214,True,False
