audit_id,sufficient,subject_points,object_points,scale_m,center_dz_m,center_dz_norm,bbox_gap_m,bbox_gap_norm,xy_overlap_ratio,local_object_points,local_vertical_gap_m,local_vertical_gap_norm,subject_vertical_aspect
PV-0001,True,127,201,0.981441709657848,-0.285334,-0.29072944138421997,0.33223972777354605,0.33852211955549766,0.0,0,,,1.127033304119193
PV-0002,True,1800,582,1.7040983715334117,-0.9816549999999999,-0.5760553594782618,0.0,0.0,1.0,582,-1.82,-1.0680134611960785,1.700403273005535
PV-0003,True,1800,1800,5.047150407491281,-1.1104200000000002,-0.22000929442321526,0.0,0.0,0.34747700749041965,733,-2.30532,-0.4567567466541728,0.0647237004389697
PV-0004,True,184,1800,3.6928497905007465,0.6400000000000001,0.1733078885705819,0.42376250000000004,0.11475216270373627,1.0,7,,,0.5620874055415617
PV-0005,True,504,1300,2.032823190900212,0.7898635,0.38855494345783126,0.309288,0.15214702458359666,1.0,0,,,0.5387745878495146
PV-0006,True,237,185,0.5501230686829206,-0.991326,-1.8020076896127757,1.1953076564801215,2.172800459616922,0.0,0,,,1.0190104166666671
PV-0007,True,73,172,0.3857055659430406,1.7949599999999999,4.653705205449568,1.6792600660243762,4.353735632304467,0.0,0,,,0.47338709677419333
PV-0008,True,1800,1800,4.47363508164764,1.1013300000000001,0.24618235057169222,0.0,0.0,0.4155409728857651,360,-0.0029840000000000977,-0.0006670190897423602,0.6795306096399681
PV-0009,True,135,198,0.9972644903917292,-0.31034799999999996,-0.3111992886441731,0.31613474818042786,0.31700190995093885,0.0,0,,,1.2176112193649307
PV-0010,True,35,1800,0.51024958256555,0.36000000000000004,0.7055370789132436,0.45975729933003795,0.9010439499398798,0.0,0,,,1.851808985903102
PV-0011,True,50,209,0.3740848382693224,0.7,1.8712332829058282,0.7499190265903714,2.004676345771777,0.0,0,,,3.2366702521639237
PV-0012,True,1800,1800,2.045020823169641,-2.590557,-1.2667631403306767,1.4811018051820206,0.7242477868202902,0.0,219,-4.12,-2.0146494125249466,3.1902878357442606
PV-0013,True,1800,119,2.602070778545797,-0.6027039999999999,-0.23162475247380832,0.8620697613516034,0.33130142671729435,0.0,0,,,0.04761904761904761
PV-0014,True,346,1714,2.767520573449712,0.10000000000000009,0.0361334260562877,0.240085972695116,0.08675128741530873,0.0,83,-0.27690000000000003,-0.10005345674986056,0.6592857142857143
PV-0015,True,154,1800,0.8380409349946939,1.52,1.8137538830482356,1.0058699999999998,1.2002635646985056,1.0,576,1.014803,1.2109229485388147,0.2962485089152296
PV-0016,True,719,582,1.1897790878912724,-0.11262699999999992,-0.09466211092986726,0.07855600000000007,0.06602570241777429,0.0,61,-0.7,-0.5883445146448643,0.42672381578947366
PV-0017,True,170,160,0.69129830318689,-0.015071499999999904,-0.02180173151086902,0.06826330553452578,0.09874652551558635,0.0,0,,,0.7436818090286675
PV-0018,True,208,1800,2.734973478780113,1.02,0.37294694369575865,0.8369993190021123,0.30603562538947954,0.0,38,0.8325255,0.304399843895866,0.8336053397137453
PV-0019,True,122,1800,4.256764960924357,0.5855125000000001,0.13754870315246534,0.4,0.09396807286093145,1.0,15,0.38682499999999986,0.09087299946107448,0.41993065217391295
PV-0020,True,1800,1247,4.554427017664353,-0.41316600000000003,-0.09071744884648167,0.2620609999999999,0.0575398395854398,1.0,1247,-0.7999999999999999,-0.17565327030100572,0.021697418817462906
PV-0021,True,893,865,1.6625469103681816,-0.08000000000000002,-0.04811894299107837,0.036341999999999874,0.02185923282727205,0.0,126,-0.76,-0.45712995841524445,0.3207986603447945
PV-0022,True,955,346,1.1775847655199776,-0.14,-0.11888740759836616,0.4446651600432061,0.37760777233463827,0.0,0,,,2.454545454545455
PV-0023,True,439,111,0.9312944803926193,-0.45999999999999996,-0.4939361390889712,0.0,0.0,0.6959271497733035,111,-1.0599999999999998,-1.1382006683354553,0.8729582577132484
PV-0024,True,1737,171,2.5585958149521666,1.465014,0.5725851623138799,1.3110786,0.5124211461373437,1.0,171,1.3110786,0.5124211461373437,0.031036473988439305
PV-0025,True,1604,325,1.2403945908154488,-1.8199999999999998,-1.4672750215747976,2.2974326614801663,1.8521788779889867,0.0,0,,,2.057082
PV-0026,True,457,384,0.6320239347045735,1.62,2.5631940675747282,1.5336685833755248,2.426598897860421,0.0,0,,,0.5346449999999997
PV-0027,True,1800,800,1.3917103073920878,0.5,0.3592701709143371,7.7304886180370245,5.554667934106999,0.0,0,,,1.2718689050509473
PV-0028,True,643,1800,5.272188206832614,0.41346499999999997,0.07842379364685055,0.0347158325983982,0.006584710415574204,0.0,115,-0.012994999999999868,-0.002464820960518575,0.43341085380799704
PV-0029,True,1800,1800,1.8385397992555266,-0.497931,-0.27082960086130603,0.43906000000000045,0.2388090810858636,0.0,1,,,3.2007546790989925
PV-0030,True,109,308,0.4822114531628354,0.16000000000000003,0.33180464493440903,0.0,0.0,1.0,63,-0.0379643999999999,-0.07872977663842402,1.3469049999999985
PV-0031,True,1391,529,2.27774606122518,-1.8,-0.7902549062171556,0.0,0.0,1.0,158,-2.6736235,-1.1738022712513796,7.052244459442711
PV-0032,True,1800,1591,3.2896616506431915,-1.41224,-0.429296429231219,0.8401224999999999,0.2553826469770044,1.0,1591,-2.082454,-0.633029843538116,0.03539960937500002
PV-0033,True,1800,325,1.6091935087402662,-1.1400000000000001,-0.7084294050455328,3.0878634104589477,1.918888805906405,0.0,0,,,4.324608068181818
PV-0034,True,796,1022,1.8452729668942172,-0.016995000000000093,-0.009210019495708764,0.0,0.0,0.6196216624552477,840,-0.11386449999999981,-0.06170604677076335,0.03952884615384604
PV-0035,True,86,694,1.7503380185630617,-1.55539,-0.8886226451716429,1.1749685,0.6712809111948499,1.0,0,,,1.63346125
PV-0036,True,1800,1287,3.239293682183982,0.045875,0.014162037932006943,0.6833762703148705,0.21096459208790466,0.0,0,,,0.9399427845923511
PV-0037,True,1800,495,3.68130131282036,-0.637605,-0.17320098134306502,0.18367500000000003,0.04989404137073498,1.0,495,-0.8637640000000001,-0.23463550701266653,0.026896124031007756
PV-0038,True,1800,1800,4.633684991733648,0.6920115,0.14934366518969833,0.020000000000000018,0.004316219172360531,0.8925243421052632,550,0.0,0.0,0.4971308680657194
PV-0039,True,289,1533,1.7125654867890765,-0.36,-0.21021093953900194,0.0,0.0,1.0,381,-1.36,-0.7941302160362297,1.0869663073587854
PV-0040,True,145,222,0.3785372964608831,-0.08583850000000004,-0.2267636526243071,0.0,0.0,1.0,220,-0.2005074,-0.5296899456794208,0.24763487599079528
PV-0041,True,1334,824,1.0066664725308003,-0.34,-0.3377484095057087,1.1157013,1.1083127634072105,0.0,0,,,1.5455637500000001
PV-0042,True,179,625,0.7357400894897499,-0.11999999999999997,-0.16310107565733206,1.5962306151040206,2.1695577526719223,0.0,0,,,0.16166799999999998
PV-0043,True,1800,1167,1.4187868824646412,0.16000000000000003,0.11277239871435556,0.0,0.0,0.6842105263157897,1089,-0.8224665999999997,-0.5796970709027521,0.6997118381856642
PV-0044,True,124,1466,0.7364929486428566,0.19889099999999993,0.2700514653487158,2.814587846364011,3.8216086814551065,0.0,0,,,0.7435555339714368
PV-0045,True,729,1800,2.06771455190255,-0.8777919999999999,-0.4245228139407947,0.0,0.0,0.5479372561692127,534,-2.14,-1.0349591040170119,0.367787837837838
