level,source_id,route_family,score_id,K,unit_count,gt_units,gt_total,gt_selected,Recall@K,selected_total,Selected@K_mean,violation_denominator,violation_count,Violation@K
all_weighted,ALL,ALL,S2_minmax_source_x_Ce,100,5480,2895,16970,15167,0.893753682969947,466366,85.10328467153285,363278,131448,0.36183859193234935
primary_success_weighted,ALL,PRIMARY,S2_rankpct_source_x_Ce,5,2192,235,882,197,0.2233560090702948,10956,4.998175182481752,10956,85,0.007758305951077036
all_weighted,ALL,ALL,S2_rankpct_source_x_Ce,5,5480,2895,16970,1986,0.11703005303476724,27390,4.998175182481752,21910,4771,0.21775445002282062
primary_success_weighted,ALL,PRIMARY,S2_rankpct_source_x_Ce,10,2192,235,882,341,0.3866213151927438,21896,9.989051094890511,21896,564,0.025758129338692
all_weighted,ALL,ALL,S2_rankpct_source_x_Ce,10,5480,2895,16970,3298,0.1943429581614614,54696,9.98102189781022,43744,9836,0.22485369422092172
primary_success_weighted,ALL,PRIMARY,S2_rankpct_source_x_Ce,20,2192,235,882,565,0.6405895691609977,43568,19.875912408759124,43568,3194,0.07331068674256334
all_weighted,ALL,ALL,S2_rankpct_source_x_Ce,20,5480,2895,16970,5234,0.30842663523865643,108816,19.856934306569343,86950,20934,0.2407590569292697
primary_success_weighted,ALL,PRIMARY,S2_rankpct_source_x_Ce,50,2192,235,882,819,0.9285714285714286,105664,48.2043795620438,105664,25453,0.24088620533010296
all_weighted,ALL,ALL,S2_rankpct_source_x_Ce,50,5480,2895,16970,9551,0.562816735415439,262416,47.886131386861315,208498,64906,0.3113027463093171
primary_success_weighted,ALL,PRIMARY,S2_rankpct_source_x_Ce,100,2192,235,882,881,0.9988662131519275,194040,88.52189781021897,194040,78111,0.40255102040816326
all_weighted,ALL,ALL,S2_rankpct_source_x_Ce,100,5480,2895,16970,13890,0.8185032410135533,466366,85.10328467153285,363278,143901,0.39611812441160765
primary_success_weighted,ALL,PRIMARY,S2_raw_source_x_Ce,5,2192,235,882,310,0.35147392290249435,10956,4.998175182481752,10956,595,0.05430814165753925
all_weighted,ALL,ALL,S2_raw_source_x_Ce,5,5480,2895,16970,4482,0.2641131408367708,27390,4.998175182481752,21910,4610,0.21040620721131903
primary_success_weighted,ALL,PRIMARY,S2_raw_source_x_Ce,10,2192,235,882,440,0.4988662131519274,21896,9.989051094890511,21896,1560,0.0712458896602119
all_weighted,ALL,ALL,S2_raw_source_x_Ce,10,5480,2895,16970,6484,0.3820860341779611,54696,9.98102189781022,43744,9665,0.22094458668617412
primary_success_weighted,ALL,PRIMARY,S2_raw_source_x_Ce,20,2192,235,882,616,0.6984126984126984,43568,19.875912408759124,43568,4254,0.09764047006977598
all_weighted,ALL,ALL,S2_raw_source_x_Ce,20,5480,2895,16970,8662,0.5104301708898056,108816,19.856934306569343,86950,20014,0.23017826336975272
primary_success_weighted,ALL,PRIMARY,S2_raw_source_x_Ce,50,2192,235,882,831,0.9421768707482994,105664,48.2043795620438,105664,16841,0.1593825711689885
all_weighted,ALL,ALL,S2_raw_source_x_Ce,50,5480,2895,16970,12207,0.7193282262816736,262416,47.886131386861315,208498,54021,0.2590960105132903
primary_success_weighted,ALL,PRIMARY,S2_raw_source_x_Ce,100,2192,235,882,882,1.0,194040,88.52189781021897,194040,66320,0.3417851989280561
all_weighted,ALL,ALL,S2_raw_source_x_Ce,100,5480,2895,16970,15160,0.8933411903358869,466366,85.10328467153285,363278,130627,0.3595786147248113
